"","gameid","playid","player","avg_speed","seconds_before_contact","ybc"
"1",13854,3178168,"Phillip Lindsay",6.85447368421053,3.8,0
"2",13854,3178171,"Royce Freeman",3.75411764705882,1.7,2
"3",13854,3178180,"Phillip Lindsay",5.11705882352941,1.7,1
"4",13854,3178183,"Royce Freeman",6.40428571428571,0.7,-2
"5",13854,3178194,"Phillip Lindsay",4.1405,2,2
"6",13854,3178199,"Royce Freeman",4.77222222222222,0.9,0
"7",13854,3178206,"Phillip Lindsay",4.81333333333333,1.2,0
"8",13854,3178215,"LeSean McCoy",4.27428571428571,2.1,5
"9",13854,3178218,"LeSean McCoy",5.43157894736842,5.7,18
"10",13854,3178231,"LeSean McCoy",6.68541666666667,2.4,1
"11",13854,3178250,"Royce Freeman",3.96157894736842,1.9,0
"12",13854,3178261,"LeSean McCoy",5.927,2,-1
"13",13854,3178282,"Phillip Lindsay",5.095,2,4
"14",13854,3178339,"Damien Williams",5.985,1.2,1
"15",13854,3178344,"Anthony Sherman",4.34153846153846,1.3,3
"16",13854,3178353,"LeSean McCoy",4.86,1.5,1
"17",13854,3178355,"Darrel Williams",4.89,1.1,-1
"18",13854,3178364,"Darrel Williams",2.87625,0.8,-3
"19",13854,3178370,"Damien Williams",3.379375,1.6,-1
"20",13854,3178389,"Royce Freeman",4.49,0.7,-2
"21",13854,3178438,"Royce Freeman",5.41888888888889,1.8,0
"22",13854,3178441,"Phillip Lindsay",3.64923076923077,1.3,-1
"23",13854,3178462,"Damien Williams",6.52928571428571,1.4,-5
"24",13854,3178575,"LeSean McCoy",4.2,1.6,1
"25",13854,3178604,"Phillip Lindsay",3.87222222222222,0.9,-1
"26",13854,3178620,"Phillip Lindsay",5.7292,2.5,3
"27",13854,3178637,"LeSean McCoy",5.366,1.5,-1
"28",13854,3178730,"Royce Freeman",5.738125,1.6,2
"29",13854,3178764,"Phillip Lindsay",4.565,3.2,2
"30",13854,3178783,"LeSean McCoy",5.61733333333333,1.5,3
"31",13854,3178787,"LeSean McCoy",5.70684210526316,1.9,1
"32",13854,3178792,"Anthony Sherman",3.54181818181818,1.1,1
"33",13854,3178794,"LeSean McCoy",3.98875,0.8,-3
"34",13854,3178814,"Royce Freeman",6.537,3,12
"35",13854,3178853,"Damien Williams",4.24,1.2,0
"36",13854,3178875,"Phillip Lindsay",6.02833333333333,3,7
"37",13854,3178893,"Phillip Lindsay",3.87294117647059,1.7,3
"38",13854,3178913,"LeSean McCoy",6.43388888888889,3.6,9
"39",13854,3178933,"LeSean McCoy",4.86818181818182,1.1,-3
"40",13854,3178941,"Damien Williams",4.31090909090909,1.1,-1
"41",13854,3178972,"Damien Williams",3.97230769230769,1.3,1
"42",13854,3178975,"Damien Williams",5.31533333333333,1.5,1
"43",13854,3178978,"Damien Williams",3.70727272727273,1.1,0
"44",13854,3178987,"Royce Freeman",5.25066666666667,1.5,2
"45",13854,3178991,"Royce Freeman",4.968125,1.6,3
"46",13855,3199816,"Devonta Freeman",5.194,1,0
"47",13855,3199829,"Devonta Freeman",6.44761904761905,2.1,2
"48",13855,3199850,"Devonta Freeman",5.24866666666667,3,7
"49",13855,3199881,"Ito Smith",5.36428571428571,2.1,5
"50",13855,3199933,"Todd Gurley II",3.96166666666667,1.2,-2
"51",13855,3199946,"Todd Gurley II",6.00863636363636,2.2,8
"52",13855,3199953,"Darrell Henderson",3.276,0.5,-5
"53",13855,3199967,"Todd Gurley II",3.92529411764706,1.7,0
"54",13855,3199976,"Todd Gurley II",4.802,2,1
"55",13855,3200012,"Darrell Henderson",3.83,0.6,-4
"56",13855,3200058,"Todd Gurley II",5.95888888888889,0.9,0
"57",13855,3200072,"Devonta Freeman",3.90375,1.6,-1
"58",13855,3200426,"Todd Gurley II",4.52615384615385,1.3,1
"59",13855,3200443,"Darrell Henderson",5.357,2,0
"60",13855,3200562,"Devonta Freeman",4.88416666666667,1.2,2
"61",13855,3200624,"Devonta Freeman",6.19343434343434,9.9,3
"62",13855,3200676,"Darrell Henderson",4.70153846153846,1.3,1
"63",13855,3200826,"Todd Gurley II",5.4725,1.2,-1
"64",13855,3200834,"Todd Gurley II",2.92666666666667,0.9,-3
"65",13855,3201211,"Todd Gurley II",3.57470588235294,1.7,0
"66",13855,3201224,"Darrell Henderson",6.49875,3.2,-1
"67",13855,3201280,"Todd Gurley II",3.765,1.4,0
"68",13855,3201440,"Devonta Freeman",7.2172,2.5,4
"69",13855,3201502,"Todd Gurley II",5.29923076923077,1.3,2
"70",13855,3201509,"Todd Gurley II",5.04928571428571,1.4,2
"71",13855,3201521,"Todd Gurley II",4.42,1.1,-1
"72",13855,3201600,"Brian Hill",4.29,1,-1
"73",13855,3201648,"Darrell Henderson",4.29363636363636,1.1,0
"74",13855,3201654,"Darrell Henderson",3.53857142857143,0.7,-3
"75",13855,3201666,"Darrell Henderson",5.05,1.2,0
"76",13855,3201685,"Brian Hill",5.00071428571429,1.4,2
"77",13855,3201756,"Brian Hill",4.38888888888889,0.9,-7
"78",13855,3201881,"Darrell Henderson",8.18806451612903,3.1,-2
"79",13855,3201905,"Darrell Henderson",5.82666666666667,3,-1
"80",13855,3201915,"Darrell Henderson",4.55866666666667,1.5,0
"81",13855,3201925,"Robert Woods",8.51033333333333,3,4
"82",13855,3201952,"Todd Gurley II",7.27075,4,5
"83",13855,3201959,"Todd Gurley II",6.62233333333333,3,-1
"84",13855,3201970,"Todd Gurley II",3.7425,1.2,-2
"85",13855,3201998,"Todd Gurley II",2.57,0.7,-3
"86",13855,3202070,"Brian Hill",4.9775,1.2,2
"87",13855,3202100,"Brian Hill",5.276875,1.6,3
"88",13855,3202167,"John Kelly",3.52454545454545,1.1,-1
"89",13855,3202192,"John Kelly",5.09055555555556,1.8,2
"90",13855,3202230,"John Kelly",3.899,2,1
"91",13856,3199884,"Frank Gore",5.39125,1.6,4
"92",13856,3199948,"Frank Gore",4.09538461538462,1.3,1
"93",13856,3200060,"Mark Walton",5.02777777777778,1.8,4
"94",13856,3200068,"Kalen Ballage",5.73818181818182,1.1,0
"95",13856,3200096,"Mark Walton",4.80363636363636,1.1,-3
"96",13856,3200143,"Frank Gore",7.14241379310345,2.9,6
"97",13856,3200261,"Mark Walton",5.369,1,1
"98",13856,3200268,"Mark Walton",4.35285714285714,1.4,1
"99",13856,3200281,"Mark Walton",5.76625,0.8,-4
"100",13856,3200296,"Kenyan Drake",5.15214285714286,1.4,2
"101",13856,3200310,"Kalen Ballage",4.84555555555556,0.9,1
"102",13856,3200342,"Kalen Ballage",4.78555555555556,0.9,0
"103",13856,3200453,"Devin Singletary",5.62083333333333,2.4,6
"104",13856,3200482,"Frank Gore",6.22518518518519,2.7,2
"105",13856,3200505,"Devin Singletary",6.2495,2,1
"106",13856,3200693,"Mark Walton",5.315,1.6,-1
"107",13856,3200714,"Mark Walton",4.39052631578947,1.9,3
"108",13856,3200737,"Kenyan Drake",6.50333333333333,2.7,-1
"109",13856,3200850,"Devin Singletary",4.28818181818182,1.1,0
"110",13856,3200894,"Mark Walton",2.35666666666667,1.5,-4
"111",13856,3200918,"Kenyan Drake",6.14,1.9,5
"112",13856,3200975,"Devin Singletary",4.6975,2,0
"113",13856,3201347,"Mark Walton",4.20307692307692,1.3,1
"114",13856,3201367,"Mark Walton",3.96470588235294,1.7,-2
"115",13856,3201387,"Mark Walton",5.96,1.4,2
"116",13856,3201419,"Mark Walton",6.17461538461538,1.3,-1
"117",13856,3201449,"Kenyan Drake",4.086,1,-1
"118",13856,3201468,"Mark Walton",3.44363636363636,1.1,0
