"","gameid","playid","player","avg_speed","seconds_before_contact","ybc"
"1",8162,2390312,"Kenyan Drake",2.235,2,-2
"2",8162,2390364,"LeSean McCoy",4.98208333333333,2.4,0
"3",8162,2390402,"Marcus Murphy",6.72166666666667,3,2
"4",8162,2390497,"Kenyan Drake",4.015,1.8,1
"5",8162,2390589,"Kenyan Drake",5.94709677419355,3.1,0
"6",8162,2390610,"Kenyan Drake",5.38794117647059,3.4,9
"7",8162,2390671,"LeSean McCoy",4.15222222222222,0.9,-5
"8",8162,2390727,"LeSean McCoy",5.47589285714286,5.6,2
"9",8162,2390770,"Marcus Murphy",5.78425,4,7
"10",8162,2390797,"LeSean McCoy",4.4356,2.5,-5
"11",8162,2391015,"LeSean McCoy",3.96153846153846,1.3,0
"12",8162,2391041,"LeSean McCoy",2.7375,1.6,0
"13",8162,2391060,"LeSean McCoy",3.81882352941176,3.4,-1
"14",8162,2391104,"Kenyan Drake",2.81583333333333,2.4,-1
"15",8162,2391126,"Kenyan Drake",3.65454545454545,1.1,0
"16",8162,2391141,"Kenyan Drake",4.62666666666667,1.2,2
"17",8162,2391155,"Senorise Perry",3.71571428571429,0.7,-2
"18",8162,2391162,"Senorise Perry",4.39454545454545,1.1,1
"19",8162,2391216,"LeSean McCoy",4.16904761904762,2.1,3
"20",8162,2391233,"LeSean McCoy",6.43864864864865,3.7,5
"21",8162,2391244,"LeSean McCoy",2.696875,1.6,-1
"22",8162,2391336,"Kenyan Drake",4.77888888888889,2.7,2
"23",8162,2391572,"MarQueis Gray",2.34857142857143,0.7,1
"24",8162,2391748,"LeSean McCoy",4.36846153846154,1.3,1
"25",8162,2391789,"Mike Tolbert",4.047,1,1
"26",8162,2391808,"Marcus Murphy",2.66333333333333,0.6,-4
"27",8162,2391916,"Kenyan Drake",3.391,1,0
"28",8162,2391958,"Marcus Murphy",4.66714285714286,1.4,3
"29",8162,2391978,"Marcus Murphy",5.94242424242424,3.3,6
"30",8162,2392069,"Marcus Murphy",2.05090909090909,1.1,-1
"31",8162,2392151,"Kenyan Drake",4.07692307692308,1.3,1
"32",8162,2392165,"Kenyan Drake",4.444,1.5,1
"33",8162,2392193,"Kenyan Drake",5.26857142857143,2.8,5
"34",8162,2392234,"Kenyan Drake",2.52,0.4,-3
"35",8162,2392299,"Mike Tolbert",4.585,1,1
"36",8162,2392309,"Mike Tolbert",3.14833333333333,1.2,1
"37",8162,2392328,"Mike Tolbert",4.44277777777778,1.8,4
"38",8162,2392354,"Mike Tolbert",4.67533333333333,1.5,2
"39",8162,2392370,"Mike Tolbert",4.065625,1.6,2
"40",8162,2392381,"Marcus Murphy",5.09944444444444,1.8,-1
"41",8162,2392395,"Marcus Murphy",3.24736842105263,1.9,-2
"42",8162,2392549,"Kenyan Drake",4.05363636363636,1.1,1
"43",8162,2392854,"Mike Tolbert",4.39722222222222,1.8,1
"44",8162,2393102,"Senorise Perry",4.27333333333333,1.2,2
"45",8163,2390307,"Devonta Freeman",4.96230769230769,1.3,1
"46",8163,2390377,"Tevin Coleman",5.86083333333333,1.2,-1
"47",8163,2390386,"Tevin Coleman",6.222,2,1
"48",8163,2390476,"Kaelin Clay",3.1251724137931,2.9,-6
"49",8163,2390697,"Christian McCaffrey",5.74645161290323,3.1,7
"50",8163,2390708,"Christian McCaffrey",4.51153846153846,1.3,2
"51",8163,2390762,"Devonta Freeman",5.81076923076923,1.3,-1
"52",8163,2390837,"Devonta Freeman",5.44772727272727,2.2,-1
"53",8163,2390890,"Cameron Artis-Payne",5.87344827586207,2.9,9
"54",8163,2390906,"Cam Newton",0.354137931034483,2.9,-6
"55",8163,2391082,"Fozzy Whittaker",2.85833333333333,1.2,0
"56",8163,2391135,"Tevin Coleman",4.468125,1.6,3
"57",8163,2391157,"Tevin Coleman",4.15153846153846,2.6,1
"58",8163,2391218,"Cameron Artis-Payne",3.33692307692308,1.3,1
"59",8163,2391276,"Christian McCaffrey",3.405,1.2,1
"60",8163,2391380,"Cameron Artis-Payne",5.03428571428571,2.1,-1
"61",8163,2391394,"Cameron Artis-Payne",2.67277777777778,1.8,0
"62",8163,2391450,"Christian McCaffrey",7.0219512195122,4.1,-5
"63",8163,2391753,"Cameron Artis-Payne",5.10583333333333,2.4,0
"64",8163,2391802,"Devonta Freeman",4.99,1,-2
"65",8163,2391829,"Devonta Freeman",7.20428571428571,2.8,-2
"66",8163,2391857,"Tevin Coleman",6.82583333333333,2.4,0
"67",8163,2391924,"Devonta Freeman",6.276,1,-2
"68",8163,2392102,"Tevin Coleman",7.70807692307692,2.6,-5
"69",8163,2392240,"Devonta Freeman",4.669375,1.6,2
"70",8163,2392304,"Devonta Freeman",5.93111111111111,1.8,-2
"71",8163,2392350,"Tevin Coleman",3.23333333333333,0.9,-1
"72",8163,2392423,"Christian McCaffrey",5.601875,1.6,2
"73",8163,2392446,"Cam Newton",1.20473684210526,1.9,-3
"74",8163,2392481,"Christian McCaffrey",3.59166666666667,0.6,-4
"75",8163,2392578,"Devonta Freeman",3.548,1.5,0
"76",8163,2392752,"Tevin Coleman",4.13454545454545,1.1,0
"77",8163,2392880,"Tevin Coleman",3.85090909090909,1.1,2
"78",8164,2388088,"Jordan Howard",2.96428571428571,1.4,0
"79",8164,2388153,"Jerick McKinnon",3.335,1.8,2
"80",8164,2388179,"Latavius Murray",5.15764705882353,1.7,5
"81",8164,2388198,"Latavius Murray",4.85545454545455,1.1,4
"82",8164,2388222,"Latavius Murray",5.47652173913044,2.3,4
"83",8164,2388232,"Latavius Murray",3.75722222222222,1.8,2
"84",8164,2388289,"Jordan Howard",7.22954545454545,2.2,-3
"85",8164,2388340,"Jerick McKinnon",3.343,1,1
"86",8164,2388466,"Jordan Howard",4.58764705882353,1.7,1
"87",8164,2388492,"Michael Burton",1.96785714285714,1.4,0
"88",8164,2388542,"Jerick McKinnon",4.35454545454545,1.1,1
"89",8164,2388632,"Jerick McKinnon",5.59847826086957,4.6,4
"90",8164,2388678,"Latavius Murray",3.274,1.5,1
"91",8164,2388801,"Latavius Murray",4.34411764705882,1.7,2
"92",8164,2388914,"Latavius Murray",4.57764705882353,1.7,1
"93",8164,2388969,"Jordan Howard",3.60875,2.4,-4
"94",8164,2389043,"Jerick McKinnon",3.52785714285714,1.4,1
"95",8164,2389104,"Jordan Howard",3.32466666666667,1.5,1
"96",8164,2389250,"Latavius Murray",4.89928571428571,1.4,2
"97",8164,2389263,"Jerick McKinnon",2.40473684210526,1.9,0
"98",8164,2389328,"Jerick McKinnon",3.6675,1.6,2
"99",8164,2389337,"Jerick McKinnon",4.13333333333333,1.2,1
"100",8164,2389397,"Tarik Cohen",3.8435,2,-4
"101",8164,2389474,"Latavius Murray",5.48586206896552,2.9,10
"102",8164,2389488,"Latavius Murray",3.86777777777778,0.9,-2
"103",8164,2389537,"Jordan Howard",4.12916666666667,1.2,-1
"104",8164,2389637,"Latavius Murray",3.89076923076923,1.3,0
"105",8164,2389680,"Jerick McKinnon",4.38428571428571,1.4,-1
"106",8164,2389694,"Jerick McKinnon",4.61777777777778,1.8,0
"107",8164,2389887,"Latavius Murray",4.13066666666667,1.5,2
"108",8164,2389903,"Latavius Murray",3.01142857142857,0.7,-4
"109",8164,2389989,"Jordan Howard",4.00875,1.6,0
"110",8164,2390045,"Jerick McKinnon",7.1559375,3.2,-1
"111",8164,2390194,"Jordan Howard",4.55315789473684,1.9,-1
"112",8164,2390221,"Latavius Murray",3.48076923076923,1.3,0
"113",8164,2390228,"Latavius Murray",5.59357142857143,2.8,8
"114",8164,2390234,"Latavius Murray",6.89842105263158,1.9,9
"115",8165,2390322,"Joe Mixon",4.50304347826087,4.6,8
"116",8165,2390343,"Joe Mixon",4.65769230769231,1.3,1
"117",8165,2390372,"Giovani Bernard",4.86411764705882,1.7,3
"118",8165,2390388,"Giovani Bernard",4.84736842105263,1.9,2
"119",8165,2390425,"Joe Mixon",6.76617647058824,3.4,15
"120",8165,2390489,"Alex Collins",4.02375,1.6,1
"121",8165,2390504,"Alex Collins",6.11133333333333,1.5,0
"122",8165,2390596,"Giovani Bernard",4.84409090909091,2.2,4
"123",8165,2390638,"Alex Collins",3.23066666666667,1.5,-2
"124",8165,2390664,"Danny Woodhead",3.37958333333333,2.4,3
"125",8165,2390744,"Joe Mixon",4.36176470588235,1.7,4
"126",8165,2390767,"Joe Mixon",6.71538461538462,3.9,4
"127",8165,2390924,"Joe Mixon",3.55863636363636,2.2,3
"128",8165,2390933,"Giovani Bernard",2.002,1,-1
"129",8165,2390969,"Joe Mixon",3.81833333333333,1.2,2
"130",8165,2391014,"Alex Collins",6.00142857142857,2.1,-4
"131",8165,2391084,"Joe Mixon",4.19833333333333,1.2,3
"132",8165,2391133,"Alex Collins",3.53,1.3,0
"133",8165,2391193,"Joe Mixon",3.64323529411765,3.4,2
"134",8165,2391255,"Alex Collins",5.10636363636364,1.1,1
"135",8165,2391329,"Joe Mixon",3.63,1.6,0
"136",8165,2391396,"Alex Collins",4.23346153846154,2.6,1
"137",8165,2391441,"Giovani Bernard",2.82866666666667,1.5,2
"138",8165,2391483,"Giovani Bernard",6.99333333333333,3.9,12
"139",8165,2391516,"Giovani Bernard",3.14411764705882,1.7,1
"140",8165,2391545,"Joe Mixon",4.27826086956522,2.3,2
"141",8165,2391554,"Joe Mixon",3.07666666666667,0.9,-1
"142",8165,2391647,"Joe Mixon",1.77190476190476,2.1,-3
"143",8165,2391656,"Joe Mixon",4.455,1.4,1
"144",8165,2391675,"Giovani Bernard",5.18394736842105,3.8,3
"145",8165,2392007,"Alex Collins",3.61615384615385,1.3,0
"146",8165,2392033,"Alex Collins",6.14782608695652,2.3,0
"147",8165,2392082,"Javorius Allen",6.74129032258065,3.1,5
"148",8165,2392198,"Alex Collins",6.65757575757576,3.3,5
"149",8165,2392221,"Javorius Allen",6.73666666666667,3.6,14
"150",8165,2392235,"Alex Collins",3.38333333333333,1.5,1
"151",8165,2392268,"Alex Collins",3.90333333333333,1.8,-6
"152",8165,2392330,"Joe Mixon",4.00428571428571,1.4,0
"153",8165,2392349,"Joe Mixon",4.12368421052632,1.9,2
"154",8165,2392378,"Joe Mixon",5.418,3.5,3
"155",8165,2392440,"Alex Collins",4.56692307692308,2.6,-2
"156",8165,2392500,"Javorius Allen",5.4975,2,-4
"157",8165,2392553,"Alex Collins",4.52428571428571,1.4,1
"158",8165,2392605,"Alex Collins",1.931,1,-4
"159",8165,2392694,"Alex Collins",3.75833333333333,1.2,-1
