"","gameid","playid","player","avg_speed","seconds_before_contact","ybc"
"1",18601,3603079,"Phillip Lindsay",4.38466666666667,1.5,0
"2",18601,3603103,"Phillip Lindsay",4.00555555555556,2.7,2
"3",18601,3603197,"Damien Harris",5.29727272727273,1.1,2
"4",18601,3603209,"Damien Harris",6.5095652173913,2.3,1
"5",18601,3603229,"Rex Burkhead",5.844,1.5,3
"6",18601,3603241,"Damien Harris",4.84111111111111,0.9,-2
"7",18601,3603268,"Phillip Lindsay",5.68161290322581,3.1,1
"8",18601,3603290,"Phillip Lindsay",4.531875,1.6,2
"9",18601,3603368,"Damien Harris",4.66176470588235,1.7,2
"10",18601,3603382,"Damien Harris",3.55571428571429,0.7,-2
"11",18601,3603410,"Rex Burkhead",4.93833333333333,1.2,1
"12",18601,3603512,"Royce Freeman",5.72409090909091,2.2,5
"13",18601,3603603,"Phillip Lindsay",6.23538461538462,1.3,-4
"14",18601,3603633,"Royce Freeman",5.05666666666667,1.5,2
"15",18601,3603736,"Rex Burkhead",3.28833333333333,0.6,-3
"16",18601,3603990,"Phillip Lindsay",6.56636363636364,2.2,6
"17",18601,3604001,"Phillip Lindsay",4.24368421052632,1.9,1
"18",18601,3604035,"Diontae Spencer",8.59272727272727,3.3,7
"19",18601,3604046,"Royce Freeman",5.09916666666667,1.2,1
"20",18601,3604063,"Phillip Lindsay",5.09875,2.4,3
"21",18601,3604077,"Royce Freeman",4.30703703703704,2.7,2
"22",18601,3604111,"Royce Freeman",5.73666666666667,0.6,-3
"23",18601,3604310,"Damien Harris",5.70428571428571,1.4,2
"24",18601,3604327,"Rex Burkhead",4.87055555555556,1.8,-1
"25",18601,3604493,"Phillip Lindsay",4.99928571428571,1.4,1
"26",18601,3604547,"Phillip Lindsay",6.35466666666667,1.5,-1
"27",18601,3604581,"Phillip Lindsay",6.12833333333333,1.2,1
"28",18601,3604597,"Royce Freeman",5.19727272727273,1.1,1
"29",18601,3604610,"Royce Freeman",4.423125,1.6,1
"30",18601,3604638,"Phillip Lindsay",3.98076923076923,1.3,2
"31",18601,3604675,"Phillip Lindsay",4.65,1.2,0
"32",18601,3604686,"Phillip Lindsay",3.575,0.4,-3
"33",18601,3604736,"Rex Burkhead",6.5408,2.5,5
"34",18601,3604792,"Phillip Lindsay",3.942,0.5,-4
"35",18601,3604810,"Phillip Lindsay",5.57692307692308,1.3,-1
"36",18601,3604871,"Phillip Lindsay",4.955,1.2,0
"37",18601,3604890,"Phillip Lindsay",4.782,1,-4
"38",18601,3604938,"James White",4.17333333333333,1.2,-1
"39",18601,3604951,"James White",6.98875,1.6,0
"40",18601,3605077,"Phillip Lindsay",4.00384615384615,1.3,0
"41",18601,3605175,"James White",5.43789473684211,1.9,-1
"42",18601,3605267,"Phillip Lindsay",5.65833333333333,1.2,6
"43",18601,3605286,"Phillip Lindsay",5.90166666666667,3.6,12
"44",18601,3605300,"Phillip Lindsay",5.9325,2,-2
"45",18601,3605542,"James White",6.59777777777778,2.7,2
"46",18611,3607239,"Clyde Edwards-Helaire",4.41035714285714,2.8,6
"47",18611,3607243,"Clyde Edwards-Helaire",4.25941176470588,1.7,0
"48",18611,3607246,"Darrel Williams",5.78857142857143,2.8,7
"49",18611,3607248,"Clyde Edwards-Helaire",4.3615625,3.2,2
"50",18611,3607254,"Devin Singletary",4.872,1,0
"51",18611,3607264,"Devin Singletary",6.70366666666667,3,5
"52",18611,3607271,"Devin Singletary",4.20214285714286,1.4,0
"53",18611,3607293,"Devin Singletary",6.32318181818182,2.2,6
"54",18611,3607295,"Devin Singletary",5.58666666666667,1.8,3
"55",18611,3607297,"Devin Singletary",4.821875,1.6,1
"56",18611,3607304,"Zack Moss",6.31967741935484,3.1,2
"57",18611,3607309,"Zack Moss",3.33307692307692,1.3,-1
"58",18611,3607314,"Zack Moss",3.07571428571429,2.1,-3
"59",18611,3607337,"Clyde Edwards-Helaire",4.48285714285714,1.4,2
"60",18611,3607340,"Clyde Edwards-Helaire",5.70458333333333,2.4,6
"61",18611,3607342,"Clyde Edwards-Helaire",6.598,3,6
"62",18611,3607344,"Clyde Edwards-Helaire",3.73133333333333,3,3
"63",18611,3607354,"Devin Singletary",5.39631578947368,1.9,0
"64",18611,3607361,"Devin Singletary",3.55166666666667,2.4,-1
"65",18611,3607364,"Devin Singletary",6.13071428571429,1.4,3
"66",18611,3607366,"Devin Singletary",4.903,1,-5
"67",18611,3607374,"Clyde Edwards-Helaire",6.18941176470588,3.4,10
"68",18611,3607394,"Clyde Edwards-Helaire",3.8605,2,3
"69",18611,3607396,"Clyde Edwards-Helaire",6.05526315789474,1.9,2
"70",18611,3607397,"Darrel Williams",4.165625,1.6,1
"71",18611,3607401,"Clyde Edwards-Helaire",3.97,2.9,3
"72",18611,3607404,"Clyde Edwards-Helaire",5.59,2.1,1
"73",18611,3607425,"Clyde Edwards-Helaire",6.01307692307692,2.6,4
"74",18611,3607429,"Clyde Edwards-Helaire",2.625625,1.6,0
"75",18611,3607431,"Clyde Edwards-Helaire",6.72318181818182,2.2,0
"76",18611,3607432,"Darwin Thompson",5.73464285714286,2.8,9
"77",18611,3607434,"Darwin Thompson",4.86277777777778,1.8,1
"78",18611,3607435,"Darwin Thompson",3.85357142857143,1.4,0
"79",18611,3607448,"Zack Moss",4.85217391304348,2.3,0
"80",18611,3607452,"Zack Moss",4.19111111111111,0.9,-3
"81",18611,3607464,"Clyde Edwards-Helaire",5.44909090909091,2.2,1
"82",18611,3607467,"Clyde Edwards-Helaire",4.677,2,2
"83",18611,3607470,"Clyde Edwards-Helaire",5.18090909090909,2.2,4
"84",18611,3607472,"Clyde Edwards-Helaire",4.76833333333333,2.4,3
"85",18611,3607474,"Clyde Edwards-Helaire",4.0975,4,2
"86",18611,3607475,"Darrel Williams",3.99538461538462,1.3,-1
"87",18611,3607476,"Darrel Williams",5.374,2.5,-3
"88",18611,3607502,"Clyde Edwards-Helaire",2.60423076923077,2.6,2
"89",18611,3607506,"Clyde Edwards-Helaire",4.51,1.1,-3
"90",18611,3607511,"Darrel Williams",3.98538461538462,1.3,1
