"","...1","player_name","gameid","playid","avg_speed","max_speed"
"1",1,"A.J. Bouye",9345,2532258,4.05215909090909,9.29
"2",2,"A.J. Bouye",9345,2533438,2.10313043478261,5.61
"3",3,"Adam Jones",9350,2535118,3.11319587628866,5.98
"4",4,"Adam Jones",9350,2536590,3.0606,6.01
"5",5,"Adam Jones",9350,2536636,4.3285549132948,6.78
"6",6,"Adrian Amos Jr.",9351,2537605,2.65101449275362,6.07
"7",7,"Adrian Phillips",9347,2535339,3.54533898305085,6.95
"8",8,"Andrew Sendejo",9342,2532174,3.47582524271845,8.02
"9",9,"Anthony Averett",9346,2534313,3.59128571428571,8.16
"10",10,"Artie Burns",9339,2531620,2.06955882352941,6.69
"11",11,"Artie Burns",9339,2532436,1.41282608695652,7.82
"12",12,"Bradley McDougald",9350,2534358,2.18190721649485,7.26
"13",13,"Brandon Marshall",9350,2535118,3.23530927835052,6.58
"14",14,"Da'Norris Searcy",9348,2535563,1.64666666666667,3.69
"15",15,"Darian Stewart",9350,2536284,1.9450303030303,5.24
"16",16,"Derwin James",9347,2535339,1.79,5.07
"17",17,"Dominique Rodgers-Cromartie",9353,2540496,3.69189189189189,8.8
"18",18,"Dominique Rodgers-Cromartie",9353,2540498,2.90336,7.65
"19",19,"Donte Jackson",9348,2535115,1.27108695652174,6.69
"20",20,"Donte Jackson",9348,2535549,1.61805739514349,7.13
"21",21,"Donte Jackson",9348,2535709,4.12051948051948,7.52
"22",22,"Donte Jackson",9348,2535728,2.63417721518987,5.73
"23",23,"Donte Jackson",9348,2536000,3.2263963963964,6.01
"24",24,"Duron Harmon",9344,2534187,2.47990049751244,7.46
"25",25,"Duron Harmon",9344,2534213,1.70159292035398,3.75
"26",26,"Duron Harmon",9344,2534240,2.20903846153846,5.27
"27",27,"Eric Murray",9347,2534205,2.75157894736842,6.08
"28",28,"Eric Murray",9347,2535254,2.48463636363636,4.69
"29",29,"Eric Murray",9347,2536229,2.75081632653061,5.16
"30",30,"Eric Murray",9347,2536240,2.38128440366972,4.95
"31",31,"Eric Murray",9347,2536422,2.60807692307692,6.52
"32",32,"Eric Murray",9347,2536442,1.81265060240964,4.14
"33",33,"Eric Murray",9347,2536448,1.86923076923077,5.1
"34",34,"Eric Rowe",9344,2532509,2.49604361370717,7.75
"35",35,"Eric Rowe",9344,2534240,2.39666666666667,6.75
"36",36,"Eric Weddle",9346,2533019,1.80534653465347,2.62
"37",37,"Eric Weddle",9346,2533486,2.41969387755102,5.61
"38",38,"Greg Stroman",9349,2536593,1.52764976958525,4.7
"39",39,"Greg Stroman",9349,2536618,1.322,4.87
"40",40,"Jahleel Addae",9347,2535326,2.47442786069652,6.69
"41",41,"Jahleel Addae",9347,2535339,1.85101694915254,5.26
"42",42,"Jalen Ramsey",9345,2531623,2.68928374655647,8.44
"43",43,"James Bradberry",9348,2534552,4.154,8.24
"44",44,"Johnathan Joseph",9344,2531529,3.63164179104478,8.21
"45",45,"Johnathan Joseph",9344,2532336,3.25042735042735,7.78
"46",46,"Jonathan Jones",9344,2534240,3.01615384615385,7.31
"47",47,"Justin Simmons",9350,2536636,1.25832369942197,2.58
"48",48,"Kenny Moore II",9340,2532064,2.53081395348837,6.54
"49",49,"Lamarcus Joyner",9353,2540433,3.20192771084337,4.65
"50",50,"LeShaun Sims",9341,2534483,2.62813186813187,6.25
"51",51,"Malik Hooker",9340,2532920,4.06666666666667,8.15
"52",52,"Marcus Gilchrist",9353,2540498,2.0912,5.45
"53",53,"Marcus Peters",9353,2540370,1.86442748091603,4.62
"54",54,"Marcus Peters",9353,2540563,2.18441860465116,5.54
"55",55,"Marcus Peters",9353,2540580,1.87969325153374,6.13
"56",56,"Micah Hyde",9346,2532328,3.27333333333333,6.52
"57",57,"Morris Claiborne",9352,2539786,3.0738679245283,6.77
"58",58,"Morris Claiborne",9352,2539896,4.2053488372093,9.74
"59",59,"Morris Claiborne",9352,2540012,5.30010101010101,7.86
"60",60,"Patrick Chung",9344,2534240,2.26583333333333,6.4
"61",61,"Phillip Gaines",9346,2534141,4.32434210526316,8.39
"62",62,"Prince Amukamara",9351,2536904,3.07939655172414,6.49
"63",63,"Prince Amukamara",9351,2537321,4.07291666666667,7.79
"64",64,"Quincy Wilson",9340,2533846,2.37782608695652,5.78
"65",65,"Quinton Dunbar",9349,2536099,2.18278106508876,6.71
"66",66,"Quinton Dunbar",9349,2536323,2.31061538461538,5.97
"67",67,"Robert Alford",9338,2506971,4.13337837837838,9.83
"68",68,"Ronald Darby",9338,2506767,3.05696202531646,7.59
"69",69,"Ronald Darby",9338,2506857,1.91806962025316,8.21
"70",70,"Ronald Darby",9338,2506860,3.076640625,4.42
"71",71,"Ronald Darby",9338,2506913,3.91922222222222,9.68
"72",72,"Ronald Darby",9338,2506965,1.97360215053763,5.56
"73",73,"Ryan Smith",9343,2533291,2.40383116883117,6.35
"74",74,"Stephon Gilmore",9344,2531705,3.25947058823529,8.35
"75",75,"Stephon Gilmore",9344,2531840,1.17423188405797,6.3
"76",76,"Stephon Gilmore",9344,2532698,2.65397959183673,5.11
"77",77,"Stephon Gilmore",9344,2533724,1.91309782608696,5.31
"78",78,"Stephon Gilmore",9344,2534164,2.61627906976744,5.82
