"","arm_length_in_inches","bench_press_in_reps","broad_jump_in_inches","fourty_time_in_seconds","height_in_inches","left_hand_size_in_inches","player_id","position","projected_position","right_hand_size_in_inches","ten_time_in_seconds","three_cone_in_seconds","twenty_shuttle_in_seconds","twenty_time_in_seconds","vertical_jump_in_inches","weight_in_pounds","wingspan_in_inches","year"
"1",31.75,NA,121,4.45,73.875,NA,55307,"WO","WR",9,NA,7.28,4.62,NA,36,198,75.75,2020
"2",31.75,22,114,4.6,76,NA,39993,"WO","WR",9.625,NA,7.33,4.55,NA,36,223,77,2020
"3",31.875,11,123,4.62,72.75,NA,25522,"WO","WR",9,NA,7.35,4.5,NA,36,212,76.875,2020
"4",30.375,10,115,4.56,68.375,NA,9538,"WO","WR",8.75,1.7,7.17,4.32,2.71,37,185,NA,2015
"5",34,23,124,4.47,74.875,NA,4953,"WO","WR",9,1.63,NA,4.47,2.71,37,218,NA,2009
"6",30.25,NA,NA,4.46,74.875,NA,4959,"WO","WR",9.5,1.64,6.72,4.19,2.67,37.5,209,NA,2009
"7",32.375,NA,126,4.55,73.25,NA,42295,"WO","WR",9.375,NA,NA,NA,NA,38,205,78.875,2020
"8",32.125,23,124,4.73,72.875,NA,29614,"WO","WR",8.75,NA,7.2,4.33,NA,38.5,202,77,2020
"9",32.875,13,126,4.46,74.375,NA,42134,"WO","WR",9.125,NA,NA,NA,NA,39.5,209,78,2020
"10",33.5,11,128,4.5,71.625,NA,84109,"WO","WR",9.75,NA,NA,NA,NA,40,205,80,2020
"11",29,7,NA,4.57,69.5,NA,33014,"WO","WR",9,NA,NA,NA,NA,40,186,69.625,2020
"12",32.5,19,126,4.42,76.25,NA,42312,"WO","WR",9.875,NA,NA,NA,NA,40.5,238,80,2020
"13",33.375,NA,NA,NA,76.75,NA,34914,"WO","WR",8.875,NA,NA,NA,NA,NA,220,79.375,2020
"14",NA,21,111,4.88,72.5,NA,3021,"LB","LB",NA,1.69,7.41,4.38,2.83,32,250,NA,2006
"15",34.125,NA,NA,NA,75.625,NA,61211,"WO","WR",9.25,NA,NA,NA,NA,NA,216,81,2020
"16",32.25,NA,NA,NA,74.75,NA,28486,"WO","WR",9.5,NA,NA,NA,NA,NA,212,75.625,2020
"17",30.875,13,NA,NA,70.625,NA,61361,"WO","WR",9.75,NA,NA,NA,NA,NA,204,74,2020
"18",30.75,15,NA,NA,68.625,NA,61590,"WO","WR",9.375,NA,NA,NA,NA,NA,178,72.5,2020
"19",32.25,NA,125,4.69,75.125,NA,34897,"QB","QB",9.5,NA,7.33,4.51,NA,35,229,78,2020
"20",33.375,NA,99,5.28,78.25,NA,35941,"OL","G",9.75,NA,7.69,4.77,NA,25.5,308,NA,2019
"21",31.875,24,110,4.91,76.25,NA,47339,"OL","C",9.5,1.73,7.76,4.62,NA,29.5,306,77.875,2020
"22",34.75,21,NA,5.52,78,NA,59878,"OL","T",9.5,1.95,NA,NA,NA,25,331,82.75,2020
"23",32.5,26,97,5.35,78,NA,29035,"OL","G",9.75,NA,7.72,4.82,NA,23.5,311,NA,2018
"24",30.5,11,NA,NA,75,NA,41117,"OL","C",9.25,NA,NA,NA,NA,NA,313,76.25,2020
"25",33,NA,109,5.4,77,NA,38924,"OL","G",10.25,NA,7.7,4.9,NA,28,310,NA,2018
"26",32,20,103,5.43,75,NA,46711,"OL","G",10.25,NA,7.9,4.81,NA,25,306,NA,2018
"27",33.625,16,119,4.81,75.75,NA,36344,"TE","TE",10.125,NA,7.3,4.34,NA,34,253,79.125,2020
"28",NA,15,114,4.73,67.5,NA,2207,"RB","HB",NA,1.72,7.01,4.15,2.85,34,193,NA,2004
"29",32.75,15,132,4.48,75.75,NA,48329,"WO","WR",10.25,NA,7.28,4.38,NA,36,225,78,2020
"30",NA,30,108,4.96,75.375,NA,1139,"DL","DI",NA,1.67,7.43,4.41,2.82,33,294,NA,2002
"31",35.625,23,NA,5.1,79.375,NA,59818,"OL","T",10.75,1.77,NA,NA,NA,NA,364,83.25,2020
"32",32.25,20,NA,NA,76.875,NA,12740,"OL","C",10,NA,NA,NA,NA,NA,300,78.5,2020
"33",32.25,NA,NA,NA,75.625,NA,41178,"OL","C",10,NA,NA,NA,NA,NA,314,79.875,2020
"34",35.125,NA,102,5.5,76,NA,46226,"OL","G",9.5,NA,8.32,NA,NA,24,299,NA,2018
"35",33.75,17,98,5.58,77,NA,31982,"OL","G",10.75,NA,7.86,NA,NA,23.5,319,NA,2018
"36",32.25,19,NA,NA,79,NA,44802,"OL","T",9.25,NA,NA,NA,NA,NA,311,NA,2018
"37",33.375,NA,NA,NA,74.375,NA,46048,"OL","T",8.5,NA,NA,NA,NA,NA,313,NA,2018
"38",33.375,NA,NA,NA,78,NA,46848,"OL","T",10.25,NA,NA,NA,NA,NA,291,NA,2018
"39",32.375,NA,117,4.5,72.75,NA,41247,"WO","WR",9.75,NA,NA,NA,NA,36,197,77,2020
"40",32.5,13,121,4.52,76,NA,29049,"WO","WR",9.25,NA,6.96,4.14,NA,36.5,223,79.25,2020
"41",33.125,9,124,4.61,75.625,NA,52130,"WO","WR",9.875,NA,7.01,4.12,NA,36.5,210,80.5,2020
"42",30.625,16,124,4.46,72.25,NA,26448,"WO","WR",9,NA,7.05,4.26,NA,36.5,197,74.375,2020
"43",32.875,NA,125,4.5,72.125,NA,61664,"WO","WR",9,NA,7.28,4.36,NA,36.5,185,78.875,2020
"44",30.375,NA,125,4.45,68.875,NA,61425,"WO","WR",8.375,NA,NA,NA,NA,36.5,170,73,2020
"45",31.625,NA,120,4.51,74.5,NA,6160,"QB","QB",9.625,1.66,6.77,4.12,2.69,35,231,NA,2011
"46",30.875,9,124,4.38,70.125,NA,48236,"WO","WR",9.625,NA,NA,NA,NA,37,176,74,2020
"47",31.125,21,123,4.47,72.5,NA,40221,"WO","WR",9.75,NA,NA,NA,NA,38,224,75.375,2020
"48",33.875,16,131,4.38,74.875,NA,47800,"WO","WR",9.375,NA,6.66,4.43,NA,38.5,207,78.5,2020
"49",31.5,NA,122,4.43,73.5,NA,84142,"WO","WR",9.75,NA,7.07,4.21,NA,38.5,189,75.125,2020
"50",30,10,116,4.34,65.25,NA,5720,"WO","WR",9.125,1.52,6.54,4.48,2.58,42,166,NA,2010
"51",31.375,17,138,4.47,70.625,NA,61697,"WO","WR",9.5,NA,7.31,4.46,NA,42,206,74.375,2020
"52",33.5,NA,NA,NA,77.125,10.75,46139,"OL","T",10,NA,NA,NA,NA,NA,323,82,2020
"53",31.625,26,119,4.67,73,NA,43250,"LB","LB",10.25,NA,6.93,4.34,NA,33.5,230,76.875,2020
"54",30.5,NA,131,4.27,71,NA,61102,"WO","WR",10.125,NA,NA,NA,NA,42,188,74.5,2020
"55",33.75,26,115,5.17,76.375,NA,45419,"OL","T",10,1.78,NA,NA,NA,34,302,82.375,2020
"56",31.125,NA,NA,NA,76.625,NA,27305,"OL","G",10.125,NA,NA,NA,NA,NA,315,76.75,2020
"57",33.5,NA,139,4.48,73.625,NA,61439,"WO","WR",10.125,NA,NA,NA,NA,44.5,212,79.25,2020
"58",31.25,NA,NA,NA,71.5,NA,23503,"WO","WR",9.125,NA,7,4.35,NA,NA,203,75,2020
"59",NA,NA,NA,4.48,74.25,NA,785,"WO","WR",NA,NA,NA,NA,NA,NA,219,NA,2001
"60",31.875,17,NA,4.58,72.625,NA,61220,"WO","WR",9,NA,NA,NA,NA,NA,227,76.25,2020
"61",31.75,17,NA,NA,77.625,NA,47808,"WO","WR",9,NA,NA,NA,NA,NA,222,78.5,2020
"62",30.875,NA,NA,NA,73.375,NA,48054,"WO","WR",9,NA,NA,NA,NA,NA,206,75,2020
"63",32.75,NA,NA,NA,73.5,NA,47447,"WO","WR",9.125,NA,NA,NA,NA,NA,200,77.125,2020
"64",29.5,NA,NA,NA,70.5,NA,33010,"PK","K",8.75,NA,NA,NA,NA,NA,185,71.5,2020
"65",34.25,28,108,5.16,76.625,NA,43883,"DL","DI",9,NA,8.22,4.79,NA,27,326,80.875,2020
"66",NA,NA,NA,NA,71.375,NA,3715,"WO","WR",NA,1.58,NA,NA,2.63,NA,186,NA,2007
"67",32.375,NA,NA,NA,76.5,NA,33672,"PK","K",8.5,NA,NA,NA,NA,NA,195,78.25,2020
"68",NA,26,107,4.89,77,NA,1204,"DL","DI",NA,1.77,7.28,4.51,2.91,33.5,279,NA,2002
"69",30.75,NA,NA,NA,71.25,NA,44576,"PK","K",9.5,NA,NA,NA,NA,NA,182,73.375,2020
"70",32.375,NA,107,4.9,75.125,NA,44526,"DL","DI",9.75,NA,7.77,4.67,NA,29,290,78.75,2020
"71",33,NA,NA,5.05,76.125,NA,59820,"OL","T",10,1.87,NA,NA,NA,NA,321,80.375,2020
"72",32.5,35,106,5.2,74.75,NA,4504,"DL","DI",9.25,1.74,8.05,5,2.96,28,315,NA,2008
"73",30.625,NA,NA,NA,73,NA,34038,"PK","K",9,NA,NA,NA,NA,NA,190,73.125,2020
"74",33,NA,120,4.61,76.375,NA,6162,"QB","QB",10,1.62,6.84,4.26,2.71,33.5,234,NA,2011
"75",32.125,NA,116,4.63,74,NA,6164,"QB","QB",10.25,1.64,6.85,4.09,2.76,34,229,NA,2011
"76",33,NA,100,5.05,78.125,NA,8440,"QB","QB",9.25,1.72,7.2,4.51,2.91,NA,232,NA,2013
"77",31.5,NA,110,4.69,74.375,NA,8671,"QB","QB",9.125,1.64,NA,4.2,2.73,34.5,214,NA,2014
"78",33,NA,119,4.66,74.5,NA,11767,"QB","QB",9.75,1.6,6.95,4.31,2.72,32.5,221,NA,2017
"79",31.75,NA,NA,NA,78.125,NA,17287,"QB","QB",10.375,NA,NA,NA,NA,NA,224,77.625,2020
"80",29.625,13,NA,4.69,72.625,NA,37721,"PK","K",9.375,NA,NA,NA,NA,34,213,72.25,2020
"81",31.375,18,111,4.69,71.625,NA,43858,"LB","LB",9.375,NA,7.38,4.32,NA,33,234,75.625,2020
"82",32.75,NA,122,4.66,74.625,NA,28081,"LB","LB",10.25,NA,6.83,4.32,NA,36,247,79.375,2020
"83",33,31,105,4.84,76,NA,4429,"DL","DI",10,1.62,7.73,4.55,2.7,28,305,NA,2008
"84",32.375,15,124,4.88,74.375,NA,27503,"LB","LB",9.125,NA,7,4.32,NA,42,237,76.375,2020
"85",32.75,24,115,4.65,74.375,NA,34632,"LB","LB",9.625,NA,7,4.31,NA,32.5,238,78.25,2020
"86",NA,19,112,4.93,74.625,NA,3357,"LB","FB",NA,1.75,7.47,4.3,2.9,32,245,NA,2006
"87",32.625,21,136,4.46,73.125,NA,57987,"LB","LB",10.5,NA,7.08,4.3,NA,39.5,243,77.875,2020
"88",NA,25,126,4.7,74.625,NA,2312,"LB","LB",NA,1.64,7.05,4.29,2.74,39,247,NA,2005
"89",32.75,12,121,4.65,73.125,NA,5154,"LB","LB",9,1.71,7.09,4.28,2.81,31,233,NA,2009
"90",34.625,23,124,4.42,75.75,NA,6224,"LB","LB",9.75,1.59,7.04,4.28,2.63,36,250,NA,2011
"91",NA,26,104,5.15,72,NA,3369,"DL","DI",NA,NA,7.72,4.6,NA,31,304,NA,2006
"92",33,NA,131,4.58,74.75,NA,50942,"LB","LB",8.875,1.64,6.85,4.28,2.71,41.5,232,NA,2018
"93",NA,19,104,5.09,73.25,NA,1993,"DL","DI",NA,1.88,7.88,4.85,3.05,26.5,306,NA,2004
"94",32.75,23,111,4.83,72.625,NA,9640,"LB","LB",9.625,1.72,7.35,4.27,2.82,32,244,NA,2015
"95",32.375,21,121,4.63,74.125,NA,29623,"LB","LB",9.5,NA,7.07,4.27,NA,32,241,76.625,2020
"96",32.125,21,127,4.49,72.5,NA,81991,"LB","LB",9.625,NA,6.96,4.26,NA,35,228,76.75,2020
"97",NA,NA,118,4.51,72.375,NA,4583,"LB","LB",NA,1.52,7.15,4.25,2.58,30,227,NA,2008
"98",NA,32,104,5.32,76.5,NA,4465,"DL","DI",NA,1.84,8.07,4.95,3.09,23,347,NA,2008
"99",31.375,NA,NA,5.11,74.625,NA,35517,"ST","LS",9.75,NA,NA,NA,NA,NA,229,75.75,2020
"100",33.375,NA,112,4.89,76,NA,25694,"QB","QB",9.75,NA,7.51,4.64,NA,29,229,79,2020
"101",30.875,NA,NA,NA,75.5,NA,28022,"QB","QB",9,NA,NA,NA,NA,NA,221,74,2020
"102",32.875,NA,123,4.68,78.25,NA,28237,"QB","QB",10,NA,7.06,4.46,NA,35.5,236,78.875,2020
"103",33.75,21,109,5.18,75.25,NA,48659,"DL","DI",9.125,NA,7.75,4.93,NA,27,311,81.75,2020
"104",33.5,NA,NA,NA,77,NA,44820,"OL","T",10.375,NA,NA,NA,NA,NA,308,80.75,2020
"105",32.125,25,123,4.66,74.625,NA,45767,"RB","HB",10,NA,NA,4.28,NA,36,232,78.125,2020
"106",32.25,15,123,4.57,73.5,NA,40448,"RB","HB",9.375,NA,NA,4.34,NA,34,217,75.625,2020
"107",32.625,16,119,4.76,73.125,NA,50862,"LB","LB",9.125,NA,7.05,4.25,NA,31.5,243,NA,2018
"108",32.5,20,122,4.65,75,NA,57834,"LB","LB",10,NA,7.09,4.25,NA,33,230,79.875,2020
"109",30.625,20,104,4.85,71,NA,203,"LB","LB",9.25,1.67,NA,4.24,2.77,28.5,233,NA,1996
"110",31.75,14,121,4.51,72.625,NA,42632,"LB","LB",9.5,NA,7.07,4.24,NA,32.5,235,74.375,2020
"111",32.75,18,112,4.85,74.625,NA,23189,"LB","LB",10.25,1.65,7.09,4.23,2.8,29.5,251,NA,2018
"112",NA,NA,118,4.63,73,NA,5442,"LB","LB",NA,NA,7,4.23,NA,35,236,NA,2009
"113",31.625,15,117,4.76,74.125,9.875,38534,"LB","LB",9.625,NA,7.02,4.21,NA,32,237,77.125,2020
"114",31,16,120,4.7,74.75,NA,5905,"LB","LB",9.5,1.7,6.96,4.21,2.8,34,234,NA,2010
"115",NA,22,116,4.7,73.625,NA,3650,"LB","LB",NA,1.63,6.94,4.2,2.74,37,238,NA,2007
"116",NA,35,118,4.8,75.125,NA,2047,"LB","LB",NA,1.66,7.19,4.19,2.76,37.5,250,NA,2004
"117",NA,21,111,4.63,74.75,NA,3382,"LB","LB",NA,1.7,6.95,4.17,2.76,37,240,NA,2006
"118",NA,23,113,4.83,71.875,NA,2262,"LB","LB",NA,1.69,7.31,4.16,2.81,35,238,NA,2005
"119",NA,22,NA,4.65,73.375,NA,1807,"LB","LB",NA,1.62,7.25,4.16,2.7,35.5,241,NA,2004
"120",NA,24,112,4.84,74.875,NA,1838,"DL","ED",NA,1.75,NA,NA,2.89,33.5,271,NA,2004
"121",NA,31,113,4.84,76.625,NA,4322,"DL","ED",NA,1.64,7.27,4.36,2.78,28.5,271,NA,2008
"122",31.25,NA,124,4.92,73.75,NA,43813,"LB","LB",9.5,NA,6.91,4.13,NA,32,234,75.25,2020
"123",NA,29,114,4.91,74.875,NA,1492,"DL","ED",NA,1.69,7.45,4.4,2.85,34.5,271,NA,2003
"124",NA,25,117,4.69,72.625,NA,5986,"LB","LB",NA,1.63,6.67,4.11,2.77,32.5,236,NA,2010
"125",NA,16,125,4.52,72.75,NA,1822,"LB","LB",NA,1.55,7.02,4.11,2.62,37,232,NA,2004
"126",NA,26,125,4.53,74.125,NA,1045,"LB","LB",NA,1.55,7.1,4.11,2.57,42,244,NA,2002
"127",NA,21,116,4.51,72,NA,1038,"LB","LB",NA,1.53,7.21,4.1,2.59,34,229,NA,2002
"128",NA,25,128,4.6,74.375,NA,2307,"LB","LB",NA,1.58,7.11,4.1,2.65,41,233,NA,2005
"129",NA,24,117,4.6,72,NA,629,"LB","LB",NA,1.59,7.08,4.09,2.67,36,237,NA,2000
"130",31.875,21,121,4.56,72,NA,50967,"LB","LB",8.875,NA,6.85,4.09,NA,34.5,230,NA,2019
"131",NA,23,115,4.71,74.875,NA,1851,"LB","LB",NA,1.68,NA,4.08,2.76,33,253,NA,2004
"132",NA,20,120,4.65,73.875,NA,1817,"LB","LB",NA,1.66,7,4.08,2.72,37.5,227,NA,2004
"133",31.75,NA,125,4.59,73,NA,40291,"QB","QB",9.75,NA,NA,NA,NA,35,222,77.625,2020
"134",32.625,NA,118,4.74,75.75,NA,40306,"QB","QB",10.5,NA,7.21,4.52,NA,35.5,224,80,2020
"135",NA,26,108,4.92,72.5,NA,4077,"LB","LB",NA,1.71,7.17,4.36,2.86,32,236,NA,2007
"136",NA,19,114,4.7,74.375,NA,3182,"DL","ED",NA,1.63,7.87,4.5,2.73,39,262,NA,2006
"137",NA,17,108,4.8,69.875,NA,904,"RB","FB",NA,1.67,7.55,4.38,2.83,29.5,226,NA,2001
"138",NA,29,113,4.59,71.25,NA,1433,"RB","FB",NA,1.61,7.73,4.68,2.66,32,232,NA,2003
"139",NA,22,NA,4.62,70.125,NA,1527,"RB","FB",NA,NA,NA,NA,NA,NA,265,NA,2003
"140",NA,NA,120,4.54,68.625,NA,647,"DB","CB",NA,1.57,6.9,4.09,2.62,37.5,194,NA,2000
"141",NA,NA,106,4.76,71.5,NA,3108,"RB","FB",NA,1.6,7.18,4.31,2.74,29.5,233,NA,2006
"142",32.75,21,104,4.82,72.25,NA,3125,"RB","FB",9.875,1.67,7.74,4.63,2.82,30.5,245,NA,2006
"143",NA,23,114,4.73,70.75,NA,3811,"RB","FB",NA,1.64,7.27,4.43,2.76,33,243,NA,2007
"144",30.375,23,111,4.61,70.625,NA,4383,"RB","FB",8.375,1.6,6.85,4.24,2.67,27.5,226,NA,2008
"145",34,24,121,4.85,76.875,NA,64818,"OL","T",10.25,1.69,7.65,4.68,NA,36.5,320,80.25,2020
"146",34.25,NA,113,5.05,76.25,NA,58467,"OL","T",10,1.81,NA,4.84,NA,34.5,312,83.5,2020
"147",31.75,44,NA,NA,74.875,NA,41339,"OL","G",10.625,NA,NA,NA,NA,NA,315,76.5,2020
"148",33.375,NA,122,4.68,71.125,NA,4518,"RB","FB",10,1.63,7.01,4.2,2.7,32,231,NA,2008
"149",NA,16,115,4.72,72.75,NA,5069,"RB","FB",NA,1.66,NA,NA,2.78,32,246,NA,2009
"150",32,24,111,4.64,71.125,NA,5662,"RB","FB",8.5,1.65,7.15,4.32,2.75,35,246,NA,2010
"151",33.25,NA,103,NA,74.25,NA,74,"DL","DI",8.5,NA,NA,4.57,NA,29.5,292,NA,1994
"152",30,32,111,4.74,70.25,NA,6288,"RB","FB",9.375,1.65,7.23,4.41,2.79,32.5,242,NA,2011
"153",34.875,NA,NA,NA,77.125,10.5,56834,"DL","DI",10.25,NA,NA,NA,NA,NA,324,83.75,2020
"154",33,33,102,5.14,75.5,NA,28072,"DL","DI",9.75,NA,7.72,NA,NA,29.5,320,79.25,2020
"155",35.5,26,110,5.32,78.5,NA,59704,"OL","T",10.25,1.79,8.26,5.07,NA,29,350,84.375,2020
"156",NA,NA,106,5.22,75.625,NA,1057,"OL","G",NA,1.78,7.84,4.81,2.98,30,320,NA,2002
"157",33.375,17,101,5.04,76,NA,27300,"DL","DI",9.375,NA,7.72,4.78,NA,25.5,308,78.75,2020
"158",NA,34,104,5.37,76.375,NA,1073,"OL","G",NA,1.78,7.68,4.63,3.01,32,308,NA,2002
"159",33.25,24,107,5.08,76.25,NA,36661,"OL","G",9.125,1.79,7.57,4.69,NA,30.5,306,79.625,2020
"160",33,29,103,5.18,74.75,NA,3645,"OL","G",10.125,1.79,7.99,4.72,3.01,26.5,311,NA,2007
"161",32.25,NA,108,5.34,74.875,NA,41878,"OL","C",10,1.81,8.14,4.65,NA,32,309,78.875,2020
"162",33.5,NA,NA,4.93,76.875,NA,2328,"OL","G",9.25,1.8,NA,NA,2.89,NA,329,NA,2005
"163",NA,NA,100,5.34,76.375,NA,1044,"OL","C",NA,1.85,8.15,5.05,3.09,30.5,316,NA,2002
"164",31.125,26,109,5.13,77.25,NA,46921,"OL","G",9.5,1.8,7.85,4.73,NA,34,309,76.5,2020
"165",33.875,24,109,5.27,77,NA,26634,"OL","T",10.125,1.81,NA,NA,NA,28.5,319,79.875,2020
"166",35.375,NA,108,4.94,78.625,NA,3011,"OL","T",11,1.67,7.47,4.44,2.82,29,310,NA,2006
"167",NA,30,100,5.1,75,NA,6008,"DL","DI",NA,1.78,7.83,4.64,2.97,32,313,NA,2010
"168",32.25,23,110,5.18,75.875,NA,41141,"OL","G",10,1.8,7.45,4.6,NA,30,307,79.75,2020
"169",33.75,25,94,5.22,74.875,10.125,46201,"OL","G",9.625,1.8,8.03,4.87,NA,27,309,81,2020
"170",NA,25,100,5.07,76,NA,4979,"DL","DI",NA,1.77,NA,NA,2.97,30.5,305,NA,2009
"171",33.75,20,106,5.35,78.125,NA,29314,"OL","G",10,1.8,7.87,5,NA,26,306,81.625,2020
"172",NA,19,100,5.38,75.75,NA,3187,"OL","G",NA,1.8,7.63,4.53,3.04,26.5,314,NA,2006
"173",34.125,NA,109,5.31,74.75,NA,2368,"OL","C",10.25,1.86,7.49,4.45,3.12,32.5,309,NA,2005
"174",NA,22,NA,5.4,73.75,NA,5057,"OL","G",NA,1.8,NA,NA,3.1,NA,309,NA,2009
"175",34,23,98,5.41,76.75,NA,3121,"OL","G",9.75,1.8,8.36,5.07,3.07,31.5,316,NA,2006
"176",34,43,115,5.08,75.625,NA,2389,"OL","G",9.75,1.81,7.46,4.37,2.98,35,312,NA,2005
"177",NA,NA,107,5.2,79,NA,1342,"OL","T",NA,1.73,7.98,4.65,2.96,35.5,310,NA,2003
"178",35.125,27,106,5.03,77.875,NA,39461,"OL","T",9.5,1.74,NA,5.08,NA,27.5,312,85.5,2020
"179",34.125,34,107,5.24,76.125,NA,41715,"OL","G",11.25,1.81,8.03,4.87,NA,30,321,82.375,2020
"180",32.875,NA,110,4.89,77.875,NA,46444,"QB","QB",9.5,NA,7.5,4.75,NA,27.5,231,79,2020
"181",30.25,NA,111,4.84,72.625,NA,46518,"QB","QB",9.25,1.72,7,4.28,2.84,29,215,NA,2018
"182",32,NA,103,NA,75.625,NA,46586,"QB","QB",9.25,NA,NA,NA,NA,26.5,215,NA,2018
"183",33.25,NA,119,4.75,76.875,NA,46601,"QB","QB",10.125,1.59,6.9,4.4,2.74,33.5,237,NA,2018
"184",30.5,NA,NA,NA,72,10,60326,"QB","QB",9.875,NA,NA,NA,NA,NA,217,75.25,2020
"185",31.125,NA,111,5.01,73.875,NA,60389,"QB","QB",8.875,NA,7.27,4.51,NA,30,219,75,2020
"186",32.25,NA,106,4.9,77,NA,34874,"QB","QB",9.375,NA,7.49,4.53,NA,29.5,230,NA,2018
"187",NA,24,98,5.3,74.625,NA,1037,"OL","G",NA,1.81,7.84,4.71,3.04,28.5,311,NA,2002
"188",32,28,106,5.29,77.25,NA,3825,"OL","T",10,1.86,7.45,4.65,3.09,27,308,NA,2007
"189",36,16,106,5.3,76.625,NA,3034,"OL","T",10.5,1.86,7.9,4.55,3.08,28,293,NA,2006
"190",NA,31,105,4.99,76.625,NA,5086,"OL","T",NA,1.83,8.01,4.82,2.98,28,304,NA,2009
"191",32,37,NA,NA,76.125,10.375,46773,"OL","G",9.5,NA,NA,NA,NA,NA,313,79.875,2020
"192",31.875,19,120,4.81,72.375,NA,44722,"LB","LB",9.875,NA,NA,NA,NA,32.5,234,77.25,2020
"193",32,NA,108,4.7,73.25,NA,46387,"QB","QB",9.875,NA,7.38,4.44,NA,30,224,NA,2018
"194",34.25,NA,120,4.59,79,NA,46481,"QB","QB",10.25,NA,7.09,4.28,NA,34.5,249,NA,2019
"195",31,16,112,4.95,74.625,NA,46540,"QB","QB",9.5,NA,7.15,4.33,NA,31,218,NA,2018
"196",30.625,NA,112,4.81,72,NA,46542,"QB","QB",9.625,NA,7.18,4.48,NA,29.5,210,NA,2018
"197",30.75,NA,101,4.88,75,NA,46594,"QB","QB",9.25,NA,7.28,4.32,NA,28.5,220,NA,2018
"198",32.25,NA,NA,NA,75.25,NA,41471,"OL","G",10,NA,NA,NA,NA,NA,337,77.75,2020
"199",32.75,NA,117,4.68,76,NA,46465,"QB","QB",9.375,NA,7.25,4.43,NA,33,231,76.875,2020
"200",31.625,16,114,4.79,73.75,NA,42450,"LB","LB",9.25,NA,7.34,4.37,NA,33.5,230,75.625,2020
"201",NA,18,105,5.12,77.125,NA,2379,"OL","T",NA,1.88,7.62,4.6,3.08,32.5,310,NA,2005
"202",32.625,NA,108,4.81,75.75,NA,46565,"QB","QB",10,NA,7.26,4.48,NA,28.5,235,78.25,2020
"203",32.125,NA,NA,4.95,74.5,NA,34412,"QB","QB",10.625,NA,7.14,4.4,NA,NA,213,75.5,2020
"204",32.625,26,NA,NA,75,NA,9500,"OL","G",10.25,NA,NA,NA,NA,NA,313,NA,2015
"205",32.25,NA,121,4.58,75.125,NA,38584,"QB","QB",9.75,NA,7.13,4.52,NA,36,215,76.75,2020
"206",31,NA,NA,NA,74.375,NA,40119,"QB","QB",9.75,NA,NA,NA,NA,NA,205,73,2020
"207",34.125,25,NA,5.27,75.125,NA,41924,"OL","C",10.375,1.82,NA,NA,NA,NA,312,84.25,2020
"208",30.5,NA,116,4.71,72.875,NA,40688,"QB","QB",9.375,NA,7.14,4.5,NA,31,212,73.5,2020
"209",NA,20,105,5.2,77.5,NA,3839,"OL","T",NA,1.84,7.62,4.67,3.06,26.5,308,NA,2007
"210",33.5,27,105,5.26,75.625,NA,46271,"OL","T",8.875,1.88,8.41,4.88,NA,33,308,80.5,2020
"211",30.875,NA,NA,5,76.125,NA,109053,"QB","QB",8.25,NA,7.13,4.37,NA,NA,224,75,2020
"212",NA,NA,102,5.38,76.25,NA,2912,"OL","G",NA,1.82,7.9,4.73,3.1,29.5,299,NA,2002
"213",34,NA,NA,NA,74.875,NA,12744,"LB","LB",10.125,NA,NA,NA,NA,NA,240,81,2020
"214",31,18,133,4.53,71,NA,42467,"DB","S",9.125,NA,6.76,4.15,NA,38,206,73.5,2020
"215",32.375,NA,126,4.66,75,NA,57942,"LB","LB",10,NA,7.38,4.33,NA,39,229,78.25,2020
"216",31.5,14,124,4.55,68,NA,8676,"DB","CB",9.5,1.59,7.26,4.4,2.68,37.5,184,NA,2014
"217",30.125,14,120,4.55,70.75,NA,44027,"DB","CB",8.875,NA,NA,NA,NA,36.5,190,NA,2019
"218",34.25,NA,NA,NA,78,NA,47004,"OL","T",10.5,NA,NA,NA,NA,NA,315,83.125,2020
"219",NA,21,100,5.23,75.375,NA,2392,"DL","DI",NA,1.83,8,4.69,3.03,27,325,NA,2005
"220",NA,28,100,5.21,74.5,NA,1907,"DL","DI",NA,1.81,7.39,4.1,3.01,26.5,290,NA,2004
"221",32.875,NA,NA,NA,77.75,NA,84236,"OL","G",9,NA,NA,NA,NA,NA,309,80.5,2020
"222",33.75,28,100,5.09,75.125,NA,4458,"DL","DI",10.25,1.65,NA,NA,2.86,25.5,301,NA,2008
"223",33.25,NA,NA,NA,77,NA,46091,"OL","G",10,NA,NA,NA,NA,NA,307,NA,2018
"224",NA,24,99,5,74.75,NA,1134,"DL","DI",NA,1.74,7.31,4.24,2.92,29,300,NA,2002
"225",34.375,26,NA,NA,74.625,NA,27357,"OL","G",10.5,NA,NA,NA,NA,NA,344,82,2020
"226",NA,28,99,5.16,74.375,NA,1428,"DL","DI",NA,1.76,8.12,5,3.01,28.5,312,NA,2003
"227",32.75,22,99,5.21,75.375,NA,44361,"DL","DI",10,NA,8.07,4.82,NA,27,308,76.875,2020
"228",32.75,19,122,4.67,77.125,NA,37213,"TE","TE",9.75,NA,7.21,4.25,NA,36.5,252,NA,2019
"229",NA,NA,99,5.38,75.625,NA,4559,"DL","DI",NA,1.8,7.62,4.75,3.04,25,296,NA,2008
"230",NA,18,112,4.79,74.75,NA,469,"TE","TE",NA,1.65,7.24,4.33,2.74,34.5,272,NA,1999
