"","arm_length_in_inches","bench_press_in_reps","broad_jump_in_inches","fourty_time_in_seconds","height_in_inches","left_hand_size_in_inches","player_id","position","projected_position","right_hand_size_in_inches","ten_time_in_seconds","three_cone_in_seconds","twenty_shuttle_in_seconds","twenty_time_in_seconds","vertical_jump_in_inches","weight_in_pounds","wingspan_in_inches","year"
"2625",NA,24,124,4.42,73.625,NA,3684,"LB","LB",NA,1.53,6.86,4.34,2.62,41.5,240,NA,2007
"2626",NA,24,106,5.15,73.125,NA,3701,"DL","DI",NA,1.81,7.94,4.65,3.02,24,309,NA,2007
"2627",35.25,28,118,4.72,78,NA,7786,"OL","T",10.125,1.68,7.31,4.52,2.77,34,303,NA,2013
"2628",33.375,34,NA,4.77,76.125,NA,12049,"OL","G",9.75,1.69,NA,NA,2.81,NA,295,NA,2017
"2629",NA,25,NA,4.8,76.25,NA,3673,"DL","ED",NA,1.67,NA,NA,2.77,NA,267,NA,2007
"2630",33.875,29,117,4.87,79.125,NA,8646,"OL","T",9.25,1.71,7.39,4.49,2.84,30.5,309,NA,2014
"2631",NA,NA,103,5.1,76,NA,3724,"DL","DI",NA,1.78,7.66,4.69,2.98,29.5,344,NA,2007
"2632",33,21,97,5.58,75.625,NA,7812,"OL","C",10,1.91,7.81,4.76,3.2,28.5,312,NA,2013
"2633",NA,NA,123,4.32,72.5,NA,3692,"WO","WR",NA,1.53,7.02,4.22,2.51,37,204,NA,2007
"2634",34.25,NA,100,5.03,75.375,NA,7977,"OL","G",9.75,1.7,7.26,4.44,2.86,26.5,302,NA,2013
"2635",NA,NA,103,5.17,75.375,NA,3697,"DL","DI",NA,1.86,7.81,4.83,3.01,25.5,304,NA,2007
"2636",34.5,27,116,5.05,79.25,NA,7783,"OL","T",10.5,1.72,7.59,4.44,2.9,28.5,306,NA,2013
"2637",36.125,21,116,5.09,80.375,NA,36925,"OL","T",11.25,1.79,7.77,4.79,NA,25,308,88,2020
"2638",NA,42,NA,5.18,74.25,NA,3698,"DL","DI",NA,1.87,NA,NA,3.12,28.5,306,NA,2007
"2639",NA,33,118,4.84,74.25,NA,3699,"DL","ED",NA,1.72,7.5,NA,2.83,34,270,NA,2007
"2640",NA,NA,NA,4.88,75.375,NA,3713,"DL","DI",NA,NA,NA,NA,NA,NA,276,NA,2007
"2641",34.125,33,115,4.94,77.625,NA,10682,"OL","T",10.125,1.76,7.7,4.44,2.9,31.5,301,NA,2016
"2642",NA,27,121,4.67,75.125,NA,3718,"DL","ED",NA,1.66,6.89,4.26,2.74,40.5,259,NA,2007
"2643",NA,28,112,4.72,75.75,NA,3703,"LB","LB",NA,1.65,7.29,4.17,2.79,35.5,254,NA,2007
"2644",NA,NA,NA,4.65,77,NA,1317,"QB","QB",NA,NA,NA,NA,NA,NA,232,NA,2003
"2645",NA,17,115,4.82,77.25,NA,3681,"DL","ED",NA,1.68,7.38,4.53,2.79,32,261,NA,2007
"2646",NA,24,NA,4.68,73.625,NA,3706,"RB","FB",NA,NA,NA,NA,NA,NA,233,NA,2007
"2647",NA,20,109,5.11,78.5,NA,3707,"OL","T",NA,1.84,7.6,4.87,3,28.5,302,NA,2007
"2648",30.75,NA,NA,4.62,73.375,NA,3716,"RB","HB",9,NA,NA,NA,NA,NA,243,NA,2007
"2649",NA,32,111,4.69,75.625,NA,3672,"DL","ED",NA,1.69,7.28,4.32,2.78,30.5,272,NA,2007
"2650",NA,25,NA,4.59,74.625,NA,3712,"LB","LB",NA,NA,NA,NA,NA,NA,245,NA,2007
"2651",NA,NA,NA,4.85,77,NA,3674,"DL","ED",NA,NA,NA,NA,NA,NA,280,NA,2007
"2652",NA,NA,NA,4.54,71,NA,3717,"PK","P",NA,NA,NA,NA,NA,NA,202,NA,2007
"2653",32.625,19,NA,4.76,76.125,NA,3708,"QB","QB",9.125,1.74,7.14,4.46,2.83,NA,231,NA,2007
"2654",31,16,NA,4.58,76,NA,3705,"DB","S",9.375,1.59,NA,NA,2.64,35,223,NA,2007
"2655",30,19,122,4.47,74.75,NA,3680,"DB","S",8.25,1.59,6.84,3.9,2.64,34.5,224,NA,2007
"2656",NA,17,NA,4.54,73.25,NA,3730,"DB","S",NA,1.65,NA,NA,2.72,33.5,199,NA,2007
"2657",NA,20,99,5.37,75.25,NA,668,"OL","G",NA,1.89,7.49,4.88,3.12,26.5,299,NA,2000
"2658",NA,34,104,4.96,74.75,NA,3675,"OL","C",NA,1.77,7.5,4.34,2.91,26,299,NA,2007
"2659",34.5,NA,NA,4.83,79.125,NA,3693,"TE","TE",10.25,NA,NA,NA,NA,NA,270,NA,2007
"2660",32.25,24,118,4.52,73,NA,47784,"WO","WR",9.625,NA,7.16,4.57,NA,33.5,199,NA,2018
"2661",33,11,113,4.62,71,NA,8999,"WO","WR",10.25,1.6,7.19,4.39,2.66,33.5,195,NA,2014
"2662",31.5,14,119,4.65,72.75,NA,48344,"WO","WR",9.25,NA,7.21,4.27,NA,33.5,198,76,2020
"2663",31.75,NA,125,4.45,73.25,NA,3696,"WO","WR",9.75,1.61,7.03,4.24,2.62,38.5,205,NA,2007
"2664",30.75,19,127,4.38,74,NA,3691,"WO","WR",9,1.53,6.83,4.28,2.5,39,199,NA,2007
"2665",32,22,NA,4.6,74.375,NA,3719,"QB","WR",9,NA,NA,NA,NA,NA,216,NA,2007
"2666",31,NA,NA,NA,74.625,NA,3689,"WO","WR",9.375,1.65,NA,NA,2.66,NA,210,NA,2007
"2667",32,NA,NA,NA,73.75,NA,3695,"WO","WR",9.25,1.58,NA,NA,2.59,NA,209,NA,2007
"2668",34,NA,115,4.95,77,NA,11775,"OL","T",9.375,1.71,7.29,4.55,2.87,28,297,NA,2017
"2669",NA,NA,NA,NA,72.125,NA,3753,"RB","FB",NA,1.72,NA,NA,2.86,NA,256,NA,2007
"2670",NA,28,108,5.15,75,NA,3768,"DL","DI",NA,1.79,7.47,4.49,2.97,29,310,NA,2007
"2671",NA,27,108,4.98,76.375,NA,3748,"DL","DI",NA,1.76,7.79,4.46,2.92,28,286,NA,2007
"2672",34,20,106,5.08,77.125,NA,3805,"OL","T",NA,1.76,7.44,4.47,2.92,32,298,NA,2007
"2673",32.25,28,110,4.95,76.625,NA,10712,"OL","G",9.625,1.71,7.47,4.54,2.84,28.5,304,NA,2016
"2674",32.75,32,NA,5.18,74.5,NA,3799,"OL","G",10.25,1.84,NA,NA,3.02,NA,303,NA,2007
"2675",34,34,103,5.08,76.125,NA,3779,"OL","T",10.875,1.81,7.5,4.4,2.95,32.5,301,NA,2007
"2676",33.375,30,108,4.98,75.875,NA,9494,"OL","G",10,1.71,7.33,4.47,2.87,30.5,307,NA,2015
"2677",30,NA,127,4.39,72.25,NA,3762,"WO","WR",9.125,1.51,NA,NA,2.53,37,198,NA,2007
