"","arm_length_in_inches","bench_press_in_reps","broad_jump_in_inches","event_date","fourty_time_in_seconds","height_in_inches","left_hand_size_in_inches","player_id","position","projected_position","right_hand_size_in_inches","ten_time_in_seconds","three_cone_in_seconds","twenty_shuttle_in_seconds","twenty_time_in_seconds","venue_franchise_id","vertical_jump_in_inches","weight_in_pounds","wingspan_in_inches","year"
"4216",33.75,NA,NA,NA,NA,76.5,NA,3064,"WR","WR",10.375,NA,6.96,4.31,NA,NA,NA,229,NA,2006
"4217",31.5,NA,NA,NA,NA,74.375,NA,3163,"WR","WR",9.5,NA,6.74,4.06,NA,NA,NA,202,NA,2006
"4218",31.625,22,NA,NA,4.45,74.875,NA,2220,"WR","WR",9.375,NA,6.83,4.02,NA,NA,38,210,NA,2005
"4219",31,NA,NA,NA,NA,73.375,NA,2224,"WR","WR",9.25,NA,NA,4,NA,NA,41.5,203,NA,2005
"4220",32.5,NA,123,NA,4.58,76.625,NA,2227,"WR","WR",9.25,NA,6.95,4.23,NA,NA,38.5,229,NA,2005
"4221",NA,20,103,NA,5.14,77,NA,7431,"T","T",NA,1.75,7.36,4.7,2.76,NA,27,300,NA,2012
"4222",NA,25,110,NA,4.95,77,NA,6327,"T","T",NA,1.69,7.6,4.48,2.87,NA,27.5,313,NA,2011
"4223",NA,20,102,NA,5.36,77.25,NA,6848,"T","T",NA,1.76,7.89,4.76,3.06,NA,30.5,339,NA,2011
"4224",34,17,101,NA,5.28,79.375,NA,5741,"T","T",9.875,1.76,7.82,4.8,2.93,NA,26,328,NA,2010
"4225",NA,19,109,NA,5.4,79.375,NA,5847,"T","T",NA,1.86,8.1,4.62,3.1,NA,30.5,333,NA,2010
"4226",33.375,19,126,"2021-03-24",4.72,73,NA,81399,"LB","LB",10.375,NA,7.35,4.3,NA,NA,38.5,230,80.125,2021
"4227",NA,11,111,"2021-03-29",5,NA,NA,49790,"ED","ED",NA,NA,NA,NA,NA,NA,28.5,NA,NA,2021
"4228",34.25,32,111,NA,5.13,79.625,NA,4981,"T","T",9.75,1.77,7.51,4.5,2.9,NA,36.5,312,NA,2009
"4229",34.25,30,NA,NA,5.15,76,NA,5032,"T","T",9.625,1.75,NA,4.42,2.97,NA,26.5,316,NA,2009
"4230",32.75,23,100,NA,5.38,78.75,NA,5063,"T","T",9.625,1.84,7.82,4.83,3.14,NA,27.5,335,NA,2009
"4231",NA,23,101,NA,5.15,75.875,NA,3702,"T","T",NA,1.69,7.36,4.58,2.88,NA,27,307,NA,2007
"4232",35.5,22,102,NA,4.92,76.625,NA,3741,"T","T",9.875,1.61,NA,4.72,2.82,NA,30.5,315,NA,2007
"4233",32.25,NA,101,NA,5.26,77.125,NA,3787,"T","T",9.875,1.77,8.19,4.74,2.96,NA,30,300,NA,2007
"4234",35.25,15,NA,NA,4.98,80.625,NA,4279,"T","T",9.625,1.7,7.12,4.49,2.86,NA,32,324,NA,2007
"4235",NA,27,106,NA,4.83,NA,NA,2465,"T","T",NA,NA,NA,4.51,NA,NA,31,NA,NA,2005
"4236",NA,NA,NA,"2020-03-10",4.58,74,NA,32793,"ST","ST",NA,NA,NA,NA,NA,NA,NA,236,NA,2020
"4237",NA,21,121,NA,4.57,69.375,NA,8470,"S","S",NA,1.57,7.07,4.24,2.64,NA,37.5,211,NA,2013
"4238",32.5,15,123,NA,4.63,73.375,NA,7673,"LB","LB",10,1.57,6.93,4.38,2.72,NA,37.5,242,NA,2012
"4239",36.375,20,129,NA,4.64,76,NA,7405,"LB","LB",11,1.58,6.7,4.3,2.65,NA,34.5,234,NA,2012
"4240",NA,19,117,NA,4.38,73.125,NA,5877,"HB","HB",NA,1.55,7.12,4.31,2.55,NA,36,211,NA,2010
"4241",NA,12,121,NA,4.37,69.125,NA,6017,"CB","CB",NA,1.41,6.97,4.07,2.52,NA,40,175,NA,2010
"4242",NA,8,119,NA,4.43,73.125,NA,4543,"CB","CB",NA,1.47,6.94,4.34,2.56,NA,32.5,185,NA,2008
"4243",31.75,8,112,"2020-03-04",4.78,71.5,NA,27831,"S","S",8.75,NA,7.54,4.53,NA,NA,29.5,193,NA,2020
"4244",34.625,NA,117,NA,NA,73.5,NA,4966,"ED","ED",10,NA,NA,NA,NA,NA,31,256,NA,2009
"4245",33,23,NA,NA,4.47,75.625,NA,4969,"ED","ED",9.875,1.53,NA,NA,2.58,NA,NA,256,NA,2009
"4246",33.375,22,109,NA,4.79,76.25,NA,4980,"ED","ED",10.125,1.58,NA,NA,2.82,NA,32,263,NA,2009
"4247",32.5,23,NA,NA,4.61,78.875,NA,4993,"ED","ED",9.875,1.54,7.42,NA,2.66,NA,NA,266,NA,2009
"4248",34.5,NA,NA,NA,4.86,77,NA,4994,"ED","ED",9.375,1.68,NA,NA,2.65,NA,NA,266,NA,2009
"4249",30.5,NA,119,NA,4.72,74.25,NA,5033,"ED","ED",9.125,1.6,NA,NA,2.72,NA,33,248,NA,2009
"4250",34.5,NA,106,NA,4.76,77,NA,5040,"ED","ED",9.75,1.69,NA,4.77,2.84,NA,NA,272,NA,2009
"4251",NA,22,NA,NA,NA,76.25,NA,4386,"ED","ED",NA,NA,NA,NA,NA,NA,30.5,263,NA,2008
"4252",NA,NA,117,NA,4.75,74.875,NA,4468,"ED","ED",NA,1.64,6.83,4.3,2.76,NA,35,246,NA,2008
"4253",NA,NA,119,NA,NA,72.5,NA,4475,"ED","ED",NA,NA,NA,NA,NA,NA,36,237,NA,2008
"4254",NA,17,118,NA,5.02,74.25,NA,4763,"ED","ED",NA,1.68,NA,NA,2.88,NA,30,268,NA,2008
"4255",NA,NA,NA,NA,4.58,75,NA,4320,"ED","ED",NA,1.59,NA,NA,2.63,NA,42,266,NA,2008
"4256",NA,NA,NA,NA,NA,76.25,NA,4342,"ED","ED",NA,NA,NA,NA,NA,NA,34.5,271,NA,2008
"4257",NA,NA,117,NA,4.65,74.375,NA,4394,"ED","ED",NA,1.56,7.2,4.31,2.67,NA,36.5,231,NA,2008
"4258",NA,NA,NA,NA,NA,74.875,NA,4406,"ED","ED",NA,NA,NA,4.31,NA,NA,36.5,253,NA,2008
"4259",NA,21,NA,NA,NA,76.75,NA,3620,"ED","ED",NA,NA,NA,NA,NA,NA,NA,258,NA,2007
"4260",NA,NA,NA,NA,4.75,73.375,NA,3962,"ED","ED",NA,1.58,NA,NA,2.72,NA,30.5,254,NA,2007
"4261",NA,NA,112,NA,NA,76.5,NA,3736,"ED","ED",NA,NA,7.02,4.67,NA,NA,32,271,NA,2007
"4262",NA,NA,NA,NA,4.9,77.625,NA,3754,"ED","ED",NA,1.69,7.26,4.63,2.84,NA,NA,279,NA,2007
"4263",NA,22,116,NA,4.75,77.375,NA,3624,"ED","ED",NA,1.59,6.88,4.22,2.73,NA,32.5,288,NA,2007
"4264",NA,NA,NA,NA,4.7,78.5,NA,3633,"ED","ED",NA,NA,7.21,4.41,2.68,NA,NA,250,NA,2007
"4265",NA,NA,NA,NA,4.69,74.875,NA,3642,"ED","ED",NA,1.56,NA,NA,2.76,NA,NA,261,NA,2007
"4266",NA,NA,114,NA,4.85,77,NA,3674,"ED","ED",NA,1.73,7.31,4.62,2.83,NA,35,280,NA,2007
"4267",NA,NA,NA,NA,4.75,77.25,NA,3681,"ED","ED",NA,1.6,NA,NA,2.72,NA,NA,261,NA,2007
"4268",NA,NA,NA,NA,NA,75.875,NA,2958,"ED","ED",NA,NA,NA,4.22,NA,NA,NA,248,NA,2006
"4269",NA,18,106,NA,4.87,75,NA,2965,"ED","ED",NA,NA,7.28,4.31,NA,NA,30,275,NA,2006
"4270",NA,19,116,NA,4.8,75.25,NA,3036,"ED","ED",NA,NA,NA,NA,NA,NA,35,267,NA,2006
"4271",NA,NA,NA,NA,4.69,76.25,NA,3058,"ED","ED",NA,NA,NA,NA,NA,NA,NA,274,NA,2006
"4272",NA,NA,119,NA,4.57,77.75,NA,2977,"ED","ED",NA,NA,7.01,4.28,NA,NA,NA,266,NA,2006
"4273",NA,NA,NA,NA,4.8,73.625,NA,3008,"ED","ED",NA,NA,NA,NA,NA,NA,NA,252,NA,2006
"4274",NA,NA,NA,NA,4.8,75.125,NA,3080,"ED","ED",NA,NA,NA,NA,NA,NA,NA,260,NA,2006
"4275",NA,NA,113,NA,4.78,73.25,NA,3085,"ED","ED",NA,NA,7.25,4.32,NA,NA,34.5,253,NA,2006
"4276",NA,NA,NA,NA,4.95,75.625,NA,3101,"ED","ED",NA,NA,NA,NA,NA,NA,NA,277,NA,2006
"4277",NA,NA,NA,NA,4.8,75.5,NA,3136,"ED","ED",NA,NA,NA,NA,NA,NA,NA,259,NA,2006
"4278",NA,NA,120,NA,4.65,77.375,NA,3158,"ED","ED",NA,NA,NA,NA,NA,NA,NA,262,NA,2006
"4279",NA,NA,NA,NA,4.68,74.375,NA,3164,"ED","ED",NA,NA,NA,NA,NA,NA,NA,257,NA,2006
"4280",33.375,NA,98,"2019-03-13",NA,78.25,NA,46801,"G","G",9.625,NA,7.69,4.51,NA,NA,26.5,309,NA,2019
"4281",33.375,16,NA,"2019-03-13",NA,78.25,NA,35941,"G","G",9.75,NA,NA,NA,NA,NA,NA,308,NA,2019
"4282",32,NA,103,"2018-03-18",NA,74.375,NA,46180,"G","G",9.875,NA,NA,NA,NA,NA,27,327,NA,2018
"4283",32.5,NA,101,"2018-03-15",5.31,76.5,NA,33068,"G","G",8.75,1.88,7.55,4.78,3.07,NA,24.5,320,NA,2018
"4284",34,NA,NA,"2018-03-14",NA,76.5,NA,46131,"G","G",10.25,NA,7.54,4.79,NA,NA,29,314,NA,2018
"4285",33.25,NA,103,NA,NA,75.875,NA,11914,"G","G",9.75,NA,7.74,4.9,NA,NA,28.5,332,NA,2017
"4286",33.75,NA,103,NA,NA,75.125,NA,11919,"G","G",10.375,NA,NA,NA,NA,NA,26.5,323,NA,2017
"4287",33,19,NA,NA,NA,75.875,NA,10713,"G","G",9.875,NA,NA,NA,NA,NA,NA,303,NA,2016
"4288",33.25,NA,93,NA,NA,75.875,NA,10731,"G","G",9.625,1.84,8.09,4.69,NA,NA,27,314,NA,2016
"4289",33.5,NA,NA,NA,NA,76.625,NA,10755,"G","G",9.5,NA,NA,4.67,NA,NA,NA,321,NA,2016
"4290",34,NA,105,NA,NA,78,NA,10764,"G","G",10,NA,NA,NA,NA,NA,NA,312,NA,2016
"4291",33.125,24,104,NA,5.24,77.25,NA,10804,"G","G",9.75,1.75,NA,NA,2.93,NA,26.5,306,NA,2016
"4292",34.625,18,98,NA,NA,76.5,NA,11370,"G","G",9.625,NA,8,5.33,NA,NA,23,335,NA,2016
"4293",32.875,NA,NA,NA,NA,75.875,NA,11237,"G","G",10.375,NA,8.2,4.95,NA,NA,NA,330,NA,2016
"4294",33.625,NA,108,NA,5.22,75.375,NA,9461,"G","G",10.125,1.75,7.77,4.71,2.94,NA,29,323,NA,2015
"4295",32.625,30,109,NA,NA,75,NA,9500,"G","G",10.25,NA,NA,NA,NA,NA,32.5,313,NA,2015
"4296",33.25,NA,106,NA,5.2,74.5,NA,9514,"G","G",10.25,1.78,7.84,4.7,3.13,NA,28,303,NA,2015
"4297",NA,20,NA,NA,NA,75.75,NA,9544,"G","G",NA,NA,NA,5.27,NA,NA,NA,330,NA,2015
"4298",32.375,23,NA,NA,5.32,75.875,NA,9561,"G","G",9.75,1.89,NA,NA,3.09,NA,NA,323,NA,2015
"4299",33.125,NA,NA,NA,5.13,76.375,NA,9567,"G","G",9.75,1.71,NA,NA,2.9,NA,31,307,NA,2015
"4300",33.375,26,103,NA,4.97,76.125,NA,8668,"G","G",9.375,1.75,7.93,4.46,2.94,NA,26,307,NA,2014
"4301",33.75,NA,NA,NA,NA,75.25,NA,8716,"G","G",10,NA,7.91,NA,NA,NA,NA,336,NA,2014
"4302",34,NA,102,NA,NA,74.625,NA,8727,"G","G",9.5,NA,8.16,4.77,NA,NA,NA,310,NA,2014
"4303",33.875,NA,NA,NA,NA,75.625,NA,8772,"G","G",9.875,NA,NA,NA,NA,NA,27.5,313,NA,2014
"4304",34,25,NA,NA,NA,77.625,NA,8780,"G","G",9.5,NA,NA,4.69,NA,NA,30,315,NA,2014
"4305",34.625,30,NA,NA,5.23,76.75,NA,8788,"G","G",9.5,1.82,NA,NA,2.99,NA,NA,329,NA,2014
"4306",33,NA,NA,NA,5.19,75,NA,8810,"G","G",10.375,1.82,NA,NA,2.99,NA,NA,313,NA,2014
"4307",33.875,NA,99,NA,NA,77.125,NA,9499,"T","G",9.5,NA,NA,NA,NA,NA,27,335,NA,2015
"4308",33.375,NA,NA,NA,NA,76,NA,9547,"T","G",10.75,NA,7.63,4.5,NA,NA,NA,304,NA,2015
"4309",32,17,108,NA,5.51,78.625,NA,9742,"T","G",9,1.84,NA,NA,3.1,NA,26.5,301,NA,2015
"4310",34,NA,108,NA,NA,78.5,NA,8730,"T","G",9.625,NA,NA,NA,NA,NA,25.5,301,NA,2014
"4311",36.625,NA,NA,NA,NA,76.625,NA,7792,"T","G",10.5,NA,NA,5,NA,NA,27.5,339,NA,2013
"4312",32,22,NA,NA,NA,76.5,NA,7800,"T","G",10.25,NA,NA,NA,NA,NA,NA,307,NA,2013
"4313",35.875,36,NA,NA,NA,77.5,NA,7062,"T","G",10.25,NA,NA,NA,NA,NA,NA,333,NA,2012
"4314",34,NA,105,NA,NA,76.375,NA,6177,"T","G",9.75,NA,7.75,4.7,NA,NA,25.5,321,NA,2011
"4315",35,NA,105,NA,NA,77.5,NA,6198,"T","G",11.125,NA,8.37,NA,NA,NA,30,316,NA,2011
"4316",34,NA,NA,NA,5.32,79.625,NA,5080,"T","G",9.25,1.75,NA,NA,3.03,NA,NA,309,NA,2009
"4317",33.5,NA,NA,NA,5.16,76.75,NA,4379,"T","G",10,1.7,7.78,4.63,2.97,NA,32,305,NA,2008
"4318",NA,22,98,NA,5.46,76.5,NA,2310,"T","G",NA,NA,7.66,4.92,NA,NA,27,322,NA,2005
"4319",NA,19,106,NA,5.26,78,NA,2367,"T","G",NA,NA,7.78,4.81,NA,NA,NA,306,NA,2005
"4320",NA,19,NA,NA,5.47,78.125,NA,2553,"T","G",NA,NA,NA,NA,NA,NA,NA,299,NA,2005
"4321",32.5,NA,NA,NA,NA,75,NA,2346,"C","G",9.5,NA,7.68,NA,NA,NA,NA,304,NA,2005
"4322",NA,NA,NA,NA,4.48,69.5,NA,3900,"ST","HB",NA,1.53,7.21,NA,2.62,NA,NA,202,NA,2007
"4323",31,16,NA,NA,4.51,71.875,NA,9527,"WR","HB",10.125,1.51,7.04,4.3,2.58,NA,NA,221,NA,2015
"4324",29.25,NA,NA,NA,4.44,68.75,NA,5561,"WR","HB",8.375,1.52,6.73,NA,2.63,NA,NA,172,NA,2010
"4325",31,20,121,NA,4.62,70.875,NA,6440,"ST","HB",10,1.65,6.68,4.19,2.69,NA,33.5,213,NA,2011
"4326",NA,17,119,NA,4.62,70.125,NA,7975,"FB","HB",NA,NA,7.07,4.27,NA,NA,35.5,228,NA,2013
"4327",NA,NA,NA,NA,4.57,72.75,NA,4541,"FB","HB",NA,1.56,NA,4.24,2.64,NA,35,240,NA,2008
"4328",NA,NA,132,NA,4.46,74.375,NA,2307,"ST","LB",NA,NA,6.92,4.3,NA,NA,42,233,NA,2005
"4329",32.75,NA,117,NA,4.76,74.75,NA,5776,"ST","LB",9,1.64,6.73,NA,2.75,NA,32,237,NA,2010
"4330",32.5,NA,NA,NA,4.84,72.375,NA,6046,"ST","LB",10.125,1.69,7.47,4.51,2.87,NA,NA,239,NA,2010
"4331",33.625,NA,122,NA,4.54,73,NA,7013,"S","LB",9.5,1.63,NA,NA,2.65,NA,34.5,213,NA,2012
"4332",NA,NA,NA,NA,4.52,73,NA,2231,"S","LB",NA,NA,NA,NA,NA,NA,NA,230,NA,2005
"4333",32.125,NA,NA,NA,4.54,70.875,NA,6339,"HB","LB",9.375,1.7,NA,NA,2.72,NA,NA,242,NA,2011
"4334",32.5,25,115,NA,4.67,72,NA,5082,"FB","LB",9.875,1.62,NA,NA,2.67,NA,38.5,244,NA,2009
"4335",35,NA,NA,"2020-03-05",NA,75.25,NA,76843,"ED","LB",9,NA,7.16,NA,NA,NA,30,242,81.25,2020
"4336",31.5,NA,115,NA,NA,73.375,NA,10733,"ED","LB",9.75,NA,NA,NA,NA,NA,35.5,244,NA,2016
"4337",32,20,119,NA,4.59,77,NA,9798,"ED","LB",10.125,1.65,NA,NA,2.69,NA,NA,238,NA,2015
"4338",33,NA,125,NA,4.77,75.125,NA,7119,"ED","LB",9.75,1.67,NA,4.37,2.81,NA,36.5,242,NA,2012
"4339",33,NA,NA,NA,4.58,73.625,NA,7157,"ED","LB",9.375,1.62,NA,NA,2.59,NA,NA,245,NA,2012
"4340",33.5,NA,NA,NA,NA,74.625,NA,5565,"ED","LB",9.25,NA,6.99,4.18,NA,NA,NA,251,NA,2010
"4341",32.625,NA,NA,NA,NA,73.5,NA,5759,"ED","LB",9.25,NA,NA,NA,NA,NA,35.5,244,NA,2010
"4342",33,NA,116,NA,4.76,73.5,NA,5790,"ED","LB",10,1.66,7.01,4.46,2.77,NA,33.5,255,NA,2010
"4343",30.5,NA,105,NA,NA,74.125,NA,5689,"ED","LB",10,NA,7.22,4.5,NA,NA,30.5,231,NA,2010
"4344",NA,NA,121,NA,4.6,74.625,NA,4688,"ED","LB",NA,1.54,6.78,4.46,2.6,NA,NA,242,NA,2008
"4345",NA,NA,122,NA,4.73,72.75,NA,4788,"ED","LB",NA,1.64,NA,NA,2.74,NA,32.5,249,NA,2008
"4346",NA,20,NA,NA,4.65,74.5,NA,2963,"ED","LB",NA,NA,6.88,4.31,NA,NA,NA,256,NA,2006
"4347",NA,NA,NA,NA,NA,76.625,NA,3732,"ST","LS",NA,NA,NA,4.03,NA,NA,NA,250,NA,2007
"4348",33,NA,124,NA,4.68,74.125,NA,7539,"ST","S",9.5,1.56,6.91,4.12,2.72,NA,36.5,211,NA,2012
"4349",30,NA,NA,NA,4.43,74.75,NA,3680,"ST","S",8.25,1.5,NA,NA,2.55,NA,NA,224,NA,2007
"4350",31.125,5,114,"2020-03-04",5.05,71.5,NA,27833,"S","S",8.375,NA,7.24,4.66,NA,NA,30,185,76,2020
"4351",30.75,19,92,"2020-03-04",4.69,70.625,NA,34664,"S","S",9.375,NA,7.17,4.43,NA,NA,23.5,196,72.5,2020
