"","arm_length_in_inches","bench_press_in_reps","broad_jump_in_inches","event_date","fourty_time_in_seconds","height_in_inches","left_hand_size_in_inches","player_id","position","projected_position","right_hand_size_in_inches","ten_time_in_seconds","three_cone_in_seconds","twenty_shuttle_in_seconds","twenty_time_in_seconds","venue_franchise_id","vertical_jump_in_inches","weight_in_pounds","wingspan_in_inches","year"
"1",32.675,23,111,"2020-03-11",4.71,76,NA,47743,"TE","TE",10.25,1.64,7.19,4.43,2.59,NA,32.5,252,78.875,2020
"2",33.25,NA,NA,NA,NA,76.625,NA,8828,"G","G",10.25,NA,NA,5.5,NA,NA,NA,316,NA,2014
"3",32.5,17,112,"2018-03-13",4.92,75.375,NA,30887,"TE","TE",9.625,1.73,7.07,4.46,2.94,NA,34,250,79.875,2018
"4",34.25,24,139,"2019-03-19",4.82,67,NA,48362,"ED","ED",9.125,1.69,8.08,5.12,2.78,NA,32,NA,NA,2019
"5",34.25,19,107,"2019-03-19",4.99,NA,NA,48368,"ED","ED",10,1.8,7.22,4.72,2.95,NA,29.5,NA,NA,2019
"6",NA,15,NA,"2020-03-02",NA,73,NA,56051,"LB","LB",NA,NA,6.82,NA,NA,NA,NA,200,NA,2020
"7",34.75,22,117,"2019-03-12",4.7,NA,NA,48427,"ED","ED",10.25,1.65,NA,NA,2.73,NA,39,NA,NA,2019
"8",32.625,NA,NA,NA,NA,78.625,NA,8268,"G","G",9.625,NA,NA,4.57,NA,NA,NA,317,NA,2013
"9",31,NA,NA,"2020-03-04",NA,71.125,NA,35904,"LB","LB",9,NA,NA,NA,NA,NA,NA,231,73.125,2020
"10",33.875,8,123,"2020-03-04",4.61,75.625,NA,34384,"LB","LB",9.375,NA,6.88,4.28,NA,NA,36.5,217,80.5,2020
"11",31,18,111,"2019-04-04",4.78,NA,NA,49691,"LB","LB",9,1.73,7.08,4.48,2.82,NA,29.5,NA,NA,2019
"12",32.75,21,109,"2019-03-26",4.83,NA,NA,49714,"LB","LB",10,1.69,7.06,4.25,2.76,NA,32,NA,NA,2019
"13",34.5,25,NA,"2019-03-25",NA,NA,NA,48467,"ED","ED",10.125,NA,NA,NA,NA,NA,NA,NA,NA,2019
"14",33.5,20,130,"2019-03-06",4.7,NA,NA,49722,"LB","LB",9.75,1.62,7.09,4.32,2.72,NA,36.5,NA,NA,2019
"15",NA,23,115,"2019-03-20",4.68,NA,NA,48493,"ED","ED",NA,NA,7.15,4.96,NA,NA,28.5,NA,NA,2019
"16",32.875,17,117,"2019-03-22",4.83,NA,NA,48495,"ED","ED",9.25,1.63,7.09,4.39,2.81,NA,34,NA,NA,2019
"17",NA,22,132,"2019-03-25",4.48,79,NA,49753,"LB","LB",NA,NA,6.77,4.18,NA,NA,39.5,NA,NA,2019
"18",34.5,NA,99,NA,4.97,75.5,NA,7717,"G","T",10.25,1.75,7.77,4.57,2.93,NA,27.5,306,NA,2012
"19",NA,NA,128,"2020-03-04",4.44,75.625,NA,109740,"WR","WR",NA,NA,7.22,4.18,NA,NA,41.5,203,NA,2020
"20",33,17,124,"2019-03-21",4.59,76,NA,49779,"LB","LB",9.875,1.62,7.25,4.41,2.64,NA,39.5,NA,NA,2019
"21",32.25,23,129,"2019-03-20",4.87,NA,NA,48532,"ED","ED",8.25,1.65,7.01,4.47,2.71,NA,40.5,NA,NA,2019
"22",30.25,20,115,"2019-03-27",4.66,74.125,NA,49816,"LB","LB",8.75,1.58,NA,NA,2.7,NA,33,233,NA,2019
"23",32.5,25,118,"2019-03-06",4.79,NA,NA,49844,"LB","LB",9.875,1.7,7.57,4.44,2.84,NA,34.5,NA,NA,2019
"24",33.75,21,123,"2019-03-27",4.69,NA,NA,50204,"LB","LB",10.25,1.68,7.4,4.45,2.7,NA,32.5,NA,NA,2019
"25",31.25,19,119,"2019-03-13",4.85,NA,NA,48567,"ED","ED",9.375,1.63,6.89,4.35,2.83,NA,32.5,NA,NA,2019
"26",32.25,20,125,"2019-03-29",4.73,NA,NA,50689,"LB","LB",9.5,1.61,7.02,4.21,2.69,NA,36,NA,NA,2019
"27",30.5,18,120,"2019-03-26",4.65,NA,NA,50780,"LB","LB",10.125,1.59,7.08,4.49,2.64,NA,34,NA,NA,2019
"28",32.375,23,120,"2019-03-20",4.73,NA,NA,48651,"ED","ED",9.125,1.64,7.11,4.53,2.78,NA,34.5,NA,NA,2019
"29",NA,26,NA,"2019-03-07",4.51,NA,NA,50783,"LB","LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
"30",NA,20,126,"2019-03-22",4.51,76,NA,50810,"LB","LB",NA,NA,7.03,4.43,NA,NA,39.5,NA,NA,2019
"31",32.875,24,121,"2018-03-26",NA,75.25,NA,48376,"ED","ED",10.375,NA,7.28,4.52,NA,NA,35,255,NA,2018
"32",NA,NA,114,"2019-03-08",4.91,NA,NA,50922,"LB","LB",NA,NA,NA,NA,NA,NA,29.5,NA,NA,2019
"33",31.75,30,122,"2018-03-17",4.62,72.125,NA,49834,"LB","LB",9.5,1.55,6.97,4.22,2.65,NA,38,239,NA,2018
"34",NA,NA,121,"2018-03-14",4.77,76,NA,48452,"ED","ED",NA,1.67,NA,4.4,2.77,NA,32.5,264,NA,2018
"35",NA,NA,NA,"2018-03-12",NA,74,NA,49836,"LB","LB",NA,NA,NA,NA,NA,NA,35,239,NA,2018
"36",34.325,29,114,"2018-03-17",4.94,77,NA,48684,"ED","ED",10,1.63,7.32,4.77,2.81,NA,31.5,280,NA,2018
"37",30.125,20,105,"2020-03-05",5.26,73.25,NA,77018,"DI","DI",9.375,1.78,8.8,4.57,3,NA,26.5,283,75.75,2020
"38",32.875,17,109,"2020-03-05",5.06,73,NA,82508,"DI","DI",9.625,NA,7.69,4.56,NA,NA,30.5,286,78.5,2020
"39",32.875,30,117,"2019-04-01",5.28,NA,NA,48854,"DI","DI",9.875,1.74,7.81,4.63,2.9,NA,31.5,NA,NA,2019
"40",NA,23,NA,"2018-03-12",NA,74.375,NA,49842,"LB","LB",NA,NA,NA,NA,NA,NA,NA,252,NA,2018
"41",30.375,NA,NA,NA,NA,70.625,NA,4383,"FB","FB",8.375,NA,NA,NA,NA,NA,29,226,NA,2008
"42",NA,NA,106,"2018-03-29",5.02,75.875,NA,50592,"LB","LB",NA,1.73,7.32,4.41,2.89,NA,27,264,NA,2018
"43",34.125,19,118,"2019-03-07",4.96,NA,NA,48374,"DI","DI",9.375,1.62,7.35,4.62,2.83,NA,33,NA,NA,2019
"44",31,14,100,"2021-03-10",5.27,71.875,NA,58431,"LS","LS",9.5,1.83,7.65,4.56,3.06,NA,26,233,76.5,2021
"45",NA,23,122,"2012-03-08",4.61,71.375,NA,7288,"S","S",NA,1.59,6.83,4.28,2.73,NA,35.5,206,NA,2012
"46",NA,27,98,"2020-03-06",5.27,71.625,NA,36393,"DI","DI",NA,NA,NA,NA,NA,NA,23.5,285,NA,2020
"47",NA,20,NA,"2020-03-10",NA,76,NA,79271,"DI","DI",NA,NA,NA,NA,NA,NA,NA,320,NA,2020
"48",35.625,NA,NA,"2020-03-05",NA,76.375,NA,45419,"T","T",10,NA,8.08,NA,NA,NA,NA,300,83.75,2020
"49",33.5,25,102,NA,5.22,75.625,NA,7144,"G","G",9.625,1.8,7.59,NA,3,NA,NA,307,NA,2012
"50",32.5,16,123,NA,4.45,71.75,NA,3870,"ST","WR",8.5,1.49,7.07,4.34,2.58,NA,40.5,191,NA,2007
"51",32.25,25,102,NA,5.32,78.375,NA,7168,"G","G",9.75,1.81,7.93,4.84,3.1,NA,25,319,NA,2012
"52",34.375,26,104,"2020-03-10",5.35,78,NA,94687,"T","T",9.5,NA,8.24,5.48,NA,NA,26.5,311,81,2020
"53",NA,18,117,"2020-03-06",4.62,73,NA,49865,"LB","LB",NA,NA,NA,NA,NA,NA,32.5,242,NA,2020
"54",32.375,19,93,"2019-03-20",5.32,NA,NA,94353,"DI","DI",9.75,1.77,8.16,5.16,3.03,NA,24,NA,NA,2019
"55",NA,17,123,NA,4.45,69.25,NA,10074,"WR","WR",NA,1.56,7.02,4.22,2.52,NA,36.5,186,NA,2015
"56",NA,20,133,NA,4.7,70.875,NA,10055,"S","S",NA,1.58,6.78,4.33,2.69,NA,40,215,NA,2015
"57",NA,15,113,NA,4.54,76.5,NA,9883,"WR","WR",NA,1.62,6.9,4.26,2.6,NA,31,209,NA,2015
"58",NA,18,116,"2020-03-10",NA,72,NA,43524,"LB","LB",NA,NA,NA,NA,NA,NA,33,248,NA,2020
"59",34.5,23,109,"2020-03-10",5.13,74.625,NA,87178,"DI","DI",NA,NA,NA,NA,NA,NA,28,307,NA,2020
"60",32.375,18,122,"2018-03-29",4.64,72.5,NA,50893,"LB","LB",10,1.64,7.26,4.46,2.7,NA,41.5,230,NA,2018
"61",34,NA,107,"2019-03-15",5.21,NA,NA,48445,"DI","DI",10.125,1.81,7.75,4.94,2.91,NA,30.5,NA,NA,2019
"62",NA,25,93,"2019-03-08",5.43,NA,NA,48620,"DI","DI",NA,NA,7.82,4.69,NA,NA,23.5,NA,NA,2019
"63",32.5,10,110,"2018-03-19",4.77,73.25,NA,50918,"LB","LB",9.25,1.73,7.13,4.4,2.79,NA,32.5,229,NA,2018
"64",31.5,25,109,"2018-04-05",4.63,70.5,NA,50923,"LB","LB",9,1.63,7.72,4.65,2.65,NA,29.5,229,NA,2018
"65",NA,36,NA,"2020-03-10",NA,73,NA,36685,"ST","ST",NA,NA,NA,NA,NA,NA,NA,270,NA,2020
"66",34.75,26,100,"2017-03-16",5.39,76.375,NA,46987,"G","G",9.375,1.82,NA,NA,3.12,NA,23.5,312,79.5,2017
"67",32.25,31,111,"2018-03-07",4.75,73.625,NA,50966,"LB","LB",9.5,1.66,7.12,4.4,2.69,NA,29.5,246,NA,2018
"68",31.625,17,121,"2018-03-29",4.82,71,NA,51015,"LB","LB",9,1.62,7.32,4.41,2.72,NA,35,231,NA,2018
"69",33.75,22,107,"2019-03-26",5.2,NA,NA,48633,"DI","DI",10.5,1.81,8.04,4.84,2.97,NA,25.5,NA,NA,2019
"70",NA,NA,61,"2020-03-02",NA,68,NA,44982,"K","K",NA,NA,NA,NA,NA,NA,NA,205,NA,2020
"71",29.25,24,NA,"2019-03-29",5.01,NA,NA,48652,"DI","DI",9,1.72,7.88,4.81,2.87,NA,NA,NA,NA,2019
"72",NA,NA,NA,"2020-03-10",NA,72,NA,75793,"K","K",NA,NA,NA,NA,NA,NA,NA,192,NA,2020
"73",NA,NA,NA,"2020-03-10",NA,71,NA,44926,"K","K",NA,NA,NA,NA,NA,NA,NA,178,NA,2020
"74",NA,NA,NA,"2020-03-10",NA,73,NA,57577,"K","K",NA,NA,NA,NA,NA,NA,NA,182,NA,2020
"75",NA,NA,135,"2020-03-02",4.44,71,NA,14213,"HB","HB",NA,NA,NA,4.16,NA,NA,35.5,179,NA,2020
"76",29.75,24,118,"2020-03-04",4.53,67.25,NA,34772,"HB","HB",8.75,NA,7.58,4.48,NA,NA,34,198,NA,2020
"77",33,NA,103,"2019-03-22",5.29,NA,NA,48888,"DI","DI",10,1.86,8.02,4.75,3.03,NA,28,NA,NA,2019
"78",NA,34,110,"2019-03-18",4.92,71,NA,48850,"DI","DI",NA,NA,7.4,4.59,NA,NA,NA,NA,NA,2019
"79",32.75,17,106,"2019-03-26",5.26,NA,NA,48981,"DI","DI",10.125,1.81,7.95,4.88,3.02,NA,30.5,NA,NA,2019
"80",31.75,18,107,"2019-03-20",5.25,NA,NA,49951,"DI","DI",10.125,1.84,7.63,4.7,3.05,NA,27.5,NA,NA,2019
"81",32.375,26,100,"2019-03-28",5.32,NA,NA,49971,"DI","DI",9.25,1.97,7.85,4.96,3.12,NA,24,NA,NA,2019
"82",NA,22,108,"2019-03-20",5.25,NA,NA,49989,"DI","DI",NA,NA,7.95,4.9,NA,NA,27,NA,NA,2019
"83",32.25,25,92,"2019-03-27",5.38,NA,NA,49991,"DI","DI",9.875,1.82,8.03,4.99,3.09,NA,24.5,NA,NA,2019
"84",33.25,17,NA,NA,NA,76.375,NA,7169,"G","G",9.375,NA,NA,NA,NA,NA,NA,324,NA,2012
"85",NA,NA,NA,NA,4.49,72.625,NA,3789,"CB","CB",NA,1.54,NA,NA,2.59,NA,NA,190,NA,2007
"86",32,NA,NA,"2015-03-02",NA,72.675,NA,9895,NA,NA,9.25,NA,NA,NA,NA,NA,NA,183,76.375,2015
"87",NA,27,119,"2020-03-11",4.48,74,NA,81955,"ED","ED",9.875,NA,7.06,4.52,NA,NA,32,244,80.875,2020
"88",NA,NA,NA,"2020-03-11",NA,72.375,NA,35102,"P","P",8,NA,NA,NA,NA,NA,NA,203,73,2020
"89",NA,NA,127,"2020-03-11",NA,76,NA,48616,"ED","ED",NA,NA,NA,NA,NA,NA,37.5,226,NA,2020
"90",35,28,106,"2021-03-10",5.19,79.375,NA,40733,"T","T",10,1.9,7.75,4.67,2.97,NA,27.5,308,81.625,2021
"91",NA,16,NA,"2020-03-11",NA,73.375,NA,35151,"LS","LS",9.375,NA,7.12,4.53,NA,NA,31,207,76.125,2020
"92",33.5,24,122,"2018-03-29",NA,75,NA,47050,"TE","TE",9.25,NA,7.29,4.38,NA,NA,35,249,NA,2018
"93",32.875,NA,116,"2018-03-27",NA,75.75,NA,47164,"TE","TE",9.25,NA,7.38,4.59,NA,NA,34,253,NA,2018
"94",NA,21,120,"2020-03-11",4.74,76,NA,42867,"LB","LB",NA,NA,NA,NA,NA,NA,37,223,NA,2020
"95",NA,13,97,"2020-03-11",4.95,NA,NA,79284,"ED","ED",NA,NA,7.49,4.63,NA,NA,27,NA,NA,2020
"96",NA,NA,109,"2020-03-11",NA,77,NA,36361,"ED","ED",NA,NA,7.62,4.3,NA,NA,30,265,NA,2020
"97",NA,NA,NA,"2020-03-11",NA,73,NA,44704,"K","K",NA,NA,NA,NA,NA,NA,NA,175,NA,2020
"98",NA,NA,NA,NA,NA,77,NA,4353,"G","G",NA,NA,8.07,4.84,NA,NA,28,315,NA,2008
"99",NA,NA,NA,"2020-03-11",NA,75,NA,34332,"K","K",NA,NA,NA,NA,NA,NA,NA,230,NA,2020
"100",NA,29,112,"2020-03-11",4.95,75,NA,36851,"DI","DI",NA,NA,7.47,4.52,NA,NA,30.5,293,NA,2020
"101",NA,NA,NA,"2020-03-11",NA,72.125,NA,44815,"K","K",8.75,NA,NA,NA,NA,NA,NA,206,NA,2020
"102",33,36,118,"2021-03-26",4.52,74,NA,56713,"ED","ED",10,1.66,NA,NA,2.59,NA,35.5,261,78.5,2021
"103",30.125,10,121,"2020-03-04",4.77,69,NA,22685,"HB","HB",9,NA,7.34,4.66,NA,254,34.5,190,71.375,2020
"104",29.125,16,117,"2020-03-04",4.5,67.75,NA,32939,"HB","HB",8.375,NA,7.46,4.61,NA,254,30.5,165,68.5,2020
"105",NA,15,112,"2020-03-06",4.52,69.375,NA,42395,"HB","HB",NA,NA,NA,NA,NA,NA,29.5,187,NA,2020
"106",NA,24,125,"2020-03-10",NA,73,NA,37280,"HB","HB",NA,NA,NA,NA,NA,NA,39.5,210,NA,2020
"107",34,NA,121,"2018-03-30",NA,76.625,NA,47272,"TE","TE",10,NA,7.02,4.31,NA,NA,35,256,NA,2018
"108",NA,21,131,"2020-03-10",4.37,68.625,NA,45693,"HB","HB",NA,NA,7.19,4.25,NA,NA,39.5,190,NA,2020
"109",NA,NA,NA,"2020-03-10",NA,NA,NA,34221,"HB","HB",NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"110",NA,14,116,"2020-03-11",4.62,71,NA,25517,"HB","HB",NA,NA,7.09,4.37,NA,NA,30,212,NA,2020
"111",NA,NA,120,"2020-03-11",4.78,76,NA,78810,"HB","HB",NA,NA,7.51,4.71,NA,NA,31.5,214,NA,2020
"112",NA,35,113,"2020-03-11",4.48,72,NA,78605,"HB","HB",NA,NA,7.39,4.77,NA,NA,35.5,230,NA,2020
"113",NA,17,NA,"2020-03-11",NA,75,NA,39811,"DI","DI",NA,NA,NA,NA,NA,NA,NA,267,NA,2020
"114",NA,20,95,"2020-03-11",5.38,73,NA,50046,"DI","DI",NA,NA,8.32,5.07,NA,NA,24.5,306,NA,2020
"115",NA,NA,106,NA,5.11,74,NA,3803,"DI","DI",NA,1.74,7.41,4.5,2.96,NA,30.5,307,NA,2007
"116",34.25,NA,98,"2019-03-22",5.03,79,NA,32587,"T","T",11.125,1.69,7.85,5.09,2.9,NA,28.5,320,NA,2019
"117",NA,NA,121,NA,4.68,74.375,NA,3182,"ED","ED",NA,NA,NA,NA,NA,NA,NA,262,NA,2006
"118",33.625,26,107,"2019-04-04",5.19,NA,NA,50015,"DI","DI",9.625,1.77,7.75,5.05,3,NA,29,NA,NA,2019
"119",31.75,38,101,"2019-03-28",5.24,NA,NA,50019,"DI","DI",9.375,1.78,7.85,4.59,3.02,NA,25,NA,NA,2019
"120",32.25,28,110,"2019-04-04",5.06,NA,NA,50033,"DI","DI",9.625,1.75,7.65,4.51,2.89,NA,32,NA,NA,2019
"121",33.5,25,103,"2019-03-15",5.53,NA,NA,50085,"DI","DI",10.25,1.95,7.77,4.98,3.18,NA,23.5,NA,NA,2019
"122",33.75,22,107,"2019-03-07",5.19,NA,NA,56890,"DI","DI",10.125,1.75,7.85,4.78,2.98,NA,30,NA,NA,2019
"123",32.875,36,113,"2018-03-13",4.98,75.5,NA,48604,"DI","DI",10.75,1.88,7.46,NA,2.88,NA,27,313,NA,2018
"124",33.75,18,106,"2021-03-10",4.77,71,NA,42663,"LB","LB",10.5,1.7,7.36,4.59,2.7,NA,31,220,75.125,2021
"125",31.875,NA,123,"2021-03-24",4.43,69.375,NA,61643,"WR","WR",9.5,1.55,6.83,4.2,2.59,NA,36,186,75.625,2021
"126",31.25,23,112,"2021-03-10",4.66,70.75,NA,57287,"HB","HB",10,1.64,7.19,4.39,2.7,NA,35,215,74.75,2021
"127",34.625,NA,NA,"2021-03-23",4.93,76.125,NA,82198,"DI","DI",10,1.57,NA,NA,2.6,NA,NA,310,81.375,2021
"128",32.125,14,119,"2021-03-18",4.54,71.375,NA,40061,"WR","WR",9.125,1.63,7.34,4.4,2.69,NA,30.5,194,75.375,2021
"129",NA,28,113,NA,4.94,75.75,NA,9818,"T","T",NA,1.73,7.35,4.7,2.77,NA,33,305,NA,2015
"130",NA,NA,NA,"2020-03-11",NA,72,NA,38631,"P","P",NA,NA,NA,NA,NA,NA,NA,168,NA,2020
"131",NA,29,112,NA,5.12,74.75,NA,9861,"G","G",NA,1.64,7.73,4.6,2.9,NA,30.5,303,NA,2015
"132",NA,19,126,NA,4.37,72.125,NA,9127,"S","S",NA,1.54,7.05,4.27,2.49,NA,39.5,201,NA,2013
"133",NA,NA,NA,"2020-03-12",4.7,75,NA,34668,"LS","LS",NA,NA,NA,NA,NA,NA,NA,215,NA,2020
"134",NA,20,110,"2020-03-11",4.65,72,NA,50653,"LB","LB",NA,NA,6.99,4.08,NA,NA,36.5,224,NA,2020
"135",NA,NA,105,NA,5.26,77,NA,4410,"G","G",NA,1.87,7.63,4.57,3.05,NA,29,320,NA,2008
"136",NA,22,116,"2020-03-11",4.64,74,NA,101464,"LB","LB",NA,NA,7.34,4.28,NA,NA,31,225,NA,2020
"137",32.75,16,NA,"2018-03-18",NA,76.5,NA,47294,"TE","TE",9.75,NA,NA,NA,NA,NA,32,250,NA,2018
"138",31.625,14,128,"2021-03-10",4.48,69.875,NA,42931,"CB","CB",8.875,1.62,7.21,4.45,2.72,NA,41,183,75.375,2021
"139",32,NA,101,NA,NA,77.25,NA,3825,"T","T",10,NA,NA,NA,NA,NA,29,308,NA,2007
"140",NA,NA,127,"2020-03-11",4.55,72,NA,58250,"LB","LB",NA,NA,7,NA,NA,NA,40.5,208,NA,2020
"141",31.25,20,NA,"2018-03-20",NA,77.375,NA,47304,"TE","TE",9.5,NA,NA,NA,NA,NA,NA,244,NA,2018
"142",NA,14,113,"2020-03-11",4.85,75,NA,38402,"ED","ED",NA,NA,6.93,4.15,NA,NA,31,241,NA,2020
"143",NA,22,122,"2020-03-12",4.86,75.5,NA,35955,"LB","LB",NA,1.75,7.4,4.34,2.87,NA,32.5,240,NA,2020
"144",NA,NA,NA,"2020-03-12",4.9,73,NA,35283,"LB","LB",NA,NA,NA,NA,NA,NA,NA,245,NA,2020
"145",30.375,NA,NA,"2016-03-10",NA,70.75,NA,10702,"CB","CB",9.125,NA,NA,NA,NA,NA,NA,182,74.75,2016
"146",NA,18,NA,"2020-03-13",4.69,72,NA,42590,"LB","LB",NA,NA,NA,NA,NA,NA,NA,238,NA,2020
"147",NA,NA,NA,"2020-03-11",NA,72,NA,38632,"K","K",NA,NA,NA,NA,NA,NA,NA,190,NA,2020
"148",33.125,22,110,"2021-03-10",4.77,74.625,NA,42707,"LB","LB",9.5,1.64,7.34,4.3,2.86,NA,30,237,79.5,2021
"149",NA,18,116,"2020-03-12",4.47,69,NA,78651,"HB","HB",NA,NA,NA,NA,NA,NA,32,196,NA,2020
"150",33,20,120,"2019-03-15",4.49,NA,NA,45826,"HB","HB",8.75,1.59,7.12,4.26,2.56,NA,34.5,NA,NA,2019
"151",32.5,NA,NA,"2021-03-11",NA,76.875,NA,52575,"T","T",9.625,NA,NA,NA,NA,NA,NA,317,87,2021
"152",29,9,117,"2018-03-07",4.58,67,NA,39541,"HB","HB",9,1.63,7.12,4.45,2.66,NA,31,183,NA,2018
"153",NA,21,NA,"2020-03-11",5.5,78,NA,38609,"G","G",NA,NA,NA,NA,NA,NA,NA,328,NA,2020
"154",NA,30,114,"2020-03-12",4.92,75.75,NA,50122,"ED","ED",NA,1.74,7.55,4.52,2.86,140,28,253,NA,2020
"155",NA,NA,NA,"2020-03-12",4.84,77,NA,48417,"ED","ED",NA,NA,NA,NA,NA,NA,NA,250,NA,2020
"156",NA,22,NA,"2020-03-13",4.68,72,NA,58142,"ED","ED",NA,NA,NA,NA,NA,NA,NA,229,NA,2020
"157",31.125,18,128,"2021-03-11",4.41,70.125,NA,57185,"HB","HB",9.375,1.56,NA,NA,2.53,NA,33.5,215,73.125,2021
"158",32.675,15,117,"2018-04-03",4.78,NA,NA,50303,"ED","ED",9.375,1.68,7.18,4.41,2.82,NA,32.5,NA,NA,2019
"159",NA,24,121,"2021-03-11",4.51,69.5,NA,61212,"WR","WR",NA,1.65,7.12,4.36,2.62,NA,33,212,NA,2021
"160",33.25,NA,97,NA,NA,75.125,NA,3765,"G","G",9.375,NA,NA,NA,NA,NA,27.5,325,NA,2007
"161",NA,NA,NA,NA,5.47,77,NA,1941,"G","G",NA,NA,NA,NA,NA,NA,NA,329,NA,2004
"162",33.5,NA,NA,NA,NA,72.625,NA,7882,"DI","DI",10,NA,NA,4.62,NA,NA,NA,307,NA,2013
"163",NA,NA,115,NA,NA,75.75,NA,3855,"ED","ED",NA,NA,NA,4.26,NA,NA,NA,274,NA,2007
"164",NA,15,120,NA,4.83,75.625,NA,3258,"ED","ED",NA,NA,6.76,4.27,NA,NA,34,253,NA,2006
"165",NA,26,103,"2020-03-11",5.2,74,NA,36454,"DI","DI",NA,NA,7.55,4.55,NA,NA,28,288,NA,2020
"166",NA,NA,NA,"2020-03-12",5.3,79,NA,36442,"DI","DI",NA,NA,NA,NA,NA,NA,NA,310,NA,2020
"167",NA,21,NA,"2020-03-13",5,75,NA,49997,"DI","DI",NA,NA,7.36,NA,NA,NA,NA,290,NA,2020
"168",NA,NA,NA,"2020-03-13",NA,74,NA,79259,"DI","DI",NA,NA,NA,NA,NA,NA,NA,285,NA,2020
"169",NA,31,NA,"2020-03-13",5.1,76,NA,56840,"DI","DI",NA,NA,NA,NA,NA,NA,NA,320,NA,2020
"170",NA,NA,NA,"2020-03-11",4.57,73,NA,34321,"CB","CB",NA,NA,NA,NA,NA,NA,NA,193,NA,2020
"171",32.5,15,106,"2021-03-11",5.19,74.75,NA,39958,"TE","TE",9.625,1.87,7.8,4.74,3,NA,28.5,250,76.875,2021
"172",NA,18,NA,"2020-03-04",NA,73,NA,43755,"P","P",NA,NA,NA,NA,NA,NA,NA,234,NA,2020
"173",31.125,17,104,"2018-03-28",4.78,74.625,NA,23250,"LS","LS",9.375,1.71,7.43,4.44,2.78,NA,29,241,NA,2018
"174",NA,27,NA,"2020-03-09",4.67,72.5,NA,44265,"LB","LB",NA,NA,NA,NA,NA,NA,34,232,NA,2020
"175",30.75,NA,NA,NA,4.49,69.375,NA,6190,"HB","HB",9,1.59,NA,NA,2.5,NA,NA,212,NA,2011
"176",NA,20,NA,"2020-03-04",NA,73,NA,57896,"LB","LB",NA,NA,NA,NA,NA,NA,29.5,227,NA,2020
"177",34,NA,117,"2021-03-10",4.59,78.5,NA,40217,"QB","QB",9.75,1.7,7.16,4.22,2.63,NA,32.5,234,82,2021
"178",33.75,19,126,"2018-04-04",4.66,73.125,NA,18551,"LB","LB",9.375,1.67,7.09,4.35,2.7,NA,38,222,NA,2018
"179",32.5,6,98,"2021-03-10",4.58,71,NA,40492,"HB","HB",8.625,1.6,7.27,4.5,2.69,NA,31.5,213,76.5,2021
"180",NA,NA,NA,"2020-03-04",NA,68.875,NA,27213,"K","K",NA,NA,NA,NA,NA,NA,NA,185,NA,2020
"181",NA,20,NA,"2020-03-09",NA,70,NA,26692,"HB","HB",NA,NA,6.85,NA,NA,NA,38,206,NA,2020
"182",32.25,36,114,"2021-03-10",4.81,75.125,NA,44173,"DI","DI",9.5,1.7,NA,NA,2.73,NA,32,310,76.75,2021
"183",NA,NA,NA,"2020-03-09",4.55,71,NA,35037,"HB","HB",NA,NA,NA,NA,NA,NA,NA,210,NA,2020
"184",36.125,15,103,"2019-03-27",5.82,77,NA,46178,"T","T",10.75,2.01,8.16,4.99,3.38,NA,26.5,315,NA,2019
"185",NA,13,NA,"2020-03-04",NA,71,NA,39916,"HB","HB",NA,NA,NA,NA,NA,NA,NA,200,NA,2020
"186",NA,16,NA,"2020-03-04",NA,69,NA,45836,"HB","HB",NA,NA,NA,NA,NA,NA,NA,198,NA,2020
"187",33,NA,NA,NA,NA,75.125,NA,7267,"WR","TE",10.125,NA,7.1,4.23,NA,NA,NA,227,NA,2012
"188",NA,NA,128,"2020-03-09",4.36,75,NA,69969,"S","S",NA,NA,6.65,4.14,NA,187,37,198,NA,2020
"189",NA,25,106,NA,4.71,73.5,NA,8438,"TE","TE",NA,1.67,7.32,4.37,2.77,NA,30.5,241,NA,2012
"190",33.375,27,99,"2021-03-10",NA,76.5,NA,42863,"DI","DI",10.125,NA,NA,NA,NA,NA,27,306,33.375,2021
"191",NA,13,115,"2020-03-04",4.68,65.625,NA,27140,"HB","HB",NA,NA,NA,NA,NA,NA,33,176,NA,2020
"192",NA,20,119,NA,4.45,NA,NA,92927,"HB","HB",NA,NA,NA,NA,NA,NA,33.5,NA,NA,2019
"193",32.5,17,95,NA,5.25,75.5,NA,7369,"C","C",8.625,1.78,7.25,4.4,3.03,NA,25,292,NA,2012
"194",30.875,14,124,"2018-03-07",4.39,67.25,NA,12660,"HB","HB",8.625,1.57,7.12,4.31,2.6,NA,35.5,184,NA,2018
"195",31.875,21,125,"2018-04-03",4.42,70.625,NA,45691,"HB","HB",9.75,1.59,6.87,4.38,2.65,NA,34.5,202,NA,2018
"196",30,21,114,"2018-03-26",4.5,72.125,NA,45732,"HB","HB",9.125,1.62,7.55,4.52,2.64,NA,30.5,224,NA,2018
"197",32.325,NA,122,NA,4.48,72.625,NA,38329,"HB","HB",9.325,1.58,7.25,NA,2.58,NA,3.5,223,NA,2017
"198",31.25,22,118,NA,4.69,71.25,NA,11347,"HB","HB",9.125,1.62,7.4,4.35,2.64,NA,37,231,NA,2016
"199",NA,34,NA,"2020-03-04",NA,75,NA,83163,"G","G",NA,NA,NA,NA,NA,199,NA,300,NA,2020
