"","player","player_id","season","week","game_id","offense","defense","rushes","exp_speed","avg_speed","avg_ybc","avg_speed_oe","speed_perc","defense_logo","team_color","game_forty"
"395","Derrick Henry",10679,2019,3,13794,"TEN","JAX",16,5.33037248253822,5.01963621832931,-0.6875,-0.31073626420891,33.2,"https://a.espncdn.com/i/teamlogos/nfl/500/jax.png","#002244",4.61031679168619
"396","Derrick Henry",10679,2019,4,13811,"TEN","ATL",24,4.93031495809555,4.80981574220407,0.0833333333333333,-0.120499215891481,42,"https://a.espncdn.com/i/teamlogos/nfl/500/atl.png","#002244",4.57805178489848
"397","Derrick Henry",10679,2019,5,13827,"TEN","BUF",19,5.14173778734709,4.79656979594808,1,-0.345167991399006,31.7,"https://a.espncdn.com/i/teamlogos/nfl/500/buf.png","#002244",4.61581650875228
"398","Derrick Henry",10679,2019,6,13850,"TEN","DEN",15,4.91442213058472,5.36183739431433,0,0.447415263729609,68.1,"https://a.espncdn.com/i/teamlogos/nfl/500/den.png","#002244",4.48235670794859
"399","Derrick Henry",10679,2019,7,13863,"TEN","LAC",23,5.01339035448821,5.3025890856438,0.652173913043478,0.289198731155594,60.8,"https://a.espncdn.com/i/teamlogos/nfl/500/lac.png","#002244",4.50912199767021
"400","Derrick Henry",10679,2019,8,13873,"TEN","TB",15,4.9909717241923,4.66625957139483,-0.133333333333333,-0.324712152797476,32.6,"https://a.espncdn.com/i/teamlogos/nfl/500/tb.png","#002244",4.61251667851262
"401","Derrick Henry",10679,2019,9,13890,"TEN","CAR",14,5.01692829813276,5.09763677782218,2.5,0.0807084796894161,51.2,"https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png","#002244",4.54432018689316
"402","Derrick Henry",10679,2019,10,13902,"TEN","KC",22,5.30106503313238,5.33318774317097,1.18181818181818,0.0321227100385888,49,"https://a.espncdn.com/i/teamlogos/nfl/500/kc.png","#002244",4.55238643859008
"403","Derrick Henry",10679,2019,12,13933,"TEN","JAX",18,5.04923984739515,5.07688157741272,1.22222222222222,0.0276417300175626,48.8,"https://a.espncdn.com/i/teamlogos/nfl/500/jax.png","#002244",4.55311973419889
"404","Derrick Henry",10679,2019,13,13942,"TEN","IND",22,5.16090742024508,5.58518110598814,1.31818181818182,0.424273685743054,67,"https://a.espncdn.com/i/teamlogos/nfl/500/ind.png","#002244",4.48638983379705
