"","...1","player_name","gameid","playid","avg_speed","max_speed"
"1",1,"Amani Hooker",18547,3527965,3.8702380952381,5.6
"2",2,"Amani Hooker",18547,3528143,3.76583333333333,5.43
"3",3,"Amani Hooker",18547,3528144,2.87438202247191,4.78
"4",4,"Amani Oruwariye",18537,3523667,4.29716216216216,7.06
"5",5,"Amani Oruwariye",18537,3525651,2.60173553719008,7.01
"6",6,"B.J. Goodson",18534,3524839,2.68931506849315,8.43
"7",7,"Blessuan Austin",18535,3524316,3.97701030927835,7.11
"8",8,"Blessuan Austin",18535,3524389,4.01678571428571,9.47
"9",9,"Blessuan Austin",18535,3524429,3.52011764705882,8.39
"10",10,"Bradley Roby",18532,3516010,3.27979591836735,7.86
"11",11,"Byron Jones",18540,3523398,3.32834394904459,8.59
"12",12,"Charvarius Ward",18532,3515982,3.6633064516129,7.58
"13",13,"Corey Ballentine",18546,3527636,3.89409937888199,7.1
"14",14,"Darious Williams",18545,3527415,3.49701754385965,7.07
"15",15,"Darnell Savage",18539,3525597,3.64688172043011,5.35
"16",16,"Deshazor Everett",18541,3525781,3.60848484848485,5.75
"17",17,"Deshazor Everett",18541,3525790,3.37910256410256,4.78
"18",18,"Deshazor Everett",18541,3525797,2.18967391304348,3.79
"19",19,"DeShon Elliott",18534,3523928,2.45604026845638,6.19
"20",20,"Donte Jackson",18536,3523542,1.87229571984436,5.72
"21",21,"Duron Harmon",18537,3523448,3.31453441295547,6.15
"22",22,"Eddie Jackson",18537,3525532,3.45102272727273,5.45
"23",23,"Emmanuel Moseley",18544,3526305,2.75243902439024,6.34
"24",24,"Emmanuel Moseley",18544,3526507,2.62285714285714,5.15
"25",25,"Fabian Moreau",18541,3523548,2.89717277486911,6.64
"26",26,"Fabian Moreau",18541,3524091,3.2581746031746,6.58
"27",27,"Fabian Moreau",18541,3524484,2.52203539823009,5.7
"28",28,"Fabian Moreau",18541,3524495,6.09746268656716,9.62
"29",29,"Fabian Moreau",18541,3525369,4.18992424242424,6.2
"30",30,"Harrison Smith",18539,3523990,3.68958083832335,7.85
"31",31,"Harrison Smith",18539,3524061,3.28870588235294,6.54
