"","player","player_id","season","offense","rushes","exp_speed","avg_speed","avg_speed_oe","forty","combine_season","twenty","ten","speed_perc","speed_rank","adj_forty","adj_twenty"
"172","Nick Chubb",45783,2019,"CLE",282,5.14414745442411,4.94377728368594,-0.200370170738164,4.52,2018,2.67,1.62,32,172,4.63,2.7
"173","Clyde Edwards-Helaire",57279,2020,"KC",170,5.1445506474551,4.92581458138466,-0.218736066070443,4.6,2020,2.66,1.60130952380952,30.1,173,4.63,2.71
"174","Adrian Peterson",3623,2019,"WAS",191,5.06145530720656,4.83946597028948,-0.221989336917077,4.4,2007,2.6,1.57,29.8,174,4.63,2.71
"175","Sony Michel",27589,2020,"NE",71,5.18725838459713,4.96414418159503,-0.2231142030021,4.54,2018,2.62,1.56,29.7,175,4.63,2.71
"176","Frank Gore",2282,2019,"BUF",144,5.01208510498206,4.78869694123658,-0.223388163745477,4.58,2005,2.66,1.60130952380952,29.7,176,4.63,2.71
"177","Sony Michel",27589,2019,"NE",215,5.10976236698239,4.88419786255017,-0.225564504432228,4.54,2018,2.62,1.56,29.5,177,4.64,2.71
"178","Marlon Mack",11898,2019,"IND",226,5.03902519698692,4.79464684318418,-0.244378353802741,4.5,2017,2.62,1.55,27.6,178,4.64,2.71
"179","Dion Lewis",6301,2018,"TEN",127,5.15519728059844,4.90617982732225,-0.249017453276191,4.56,2011,2.68,1.6,27.2,179,4.64,2.71
"180","Tarik Cohen",11874,2019,"CHI",51,4.98276243957819,4.73321424279201,-0.249548196786181,4.42,2017,2.59,1.54,27.1,180,4.64,2.71
"181","Malcolm Brown",9902,2020,"LA",96,5.34832874437173,5.09394045255169,-0.254388291820042,4.62,2015,2.71,1.64,26.6,181,4.64,2.71
"182","Peyton Barber",10927,2018,"TB",186,5.10888911319035,4.85361953331472,-0.255269579875632,4.64,2016,2.7,1.64,26.5,182,4.65,2.71
"183","Devonta Freeman",8738,2019,"ATL",169,5.26106056518103,5.00154891001337,-0.259511655167666,4.58,2014,2.69,1.66,26.1,183,4.65,2.73
"184","Duke Johnson Jr.",9510,2020,"HOU",77,4.86852499726531,4.60354063436512,-0.264984362900192,4.54,2015,2.64,1.6,25.6,184,4.65,2.73
"185","Le'Veon Bell",7829,2020,"KC",56,5.08189476387841,4.80865996802293,-0.273234795855482,4.6,2013,2.64,1.57,24.8,185,4.65,2.73
"186","Mike Davis",9559,2020,"CAR",152,4.97808123889722,4.70190667656981,-0.276174562327414,4.61,2015,2.68,1.53,24.5,186,4.65,2.73
"187","Alfred Morris",7165,2020,"NYG",54,4.93732100504416,4.64413712043433,-0.293183884609832,4.63,2012,2.75,1.63,22.8,187,4.66,2.73
"188","Peyton Barber",10927,2020,"WAS",81,4.82304509480794,4.51325122058386,-0.309793874224082,4.64,2016,2.7,1.64,21.1,188,4.66,2.73
"189","Marshawn Lynch",3628,2018,"LV",84,5.19384207611992,4.87388263657999,-0.319959439539928,4.46,2007,2.67,1.6,20.1,189,4.66,2.74
"190","Bilal Powell",6278,2019,"NYJ",56,5.06702498878751,4.7453564637382,-0.32166852504931,4.51,2011,2.71,1.59,20,190,4.66,2.74
"191","Malcolm Brown",9902,2019,"LA",67,5.27405148833545,4.94581745617687,-0.328234032158581,4.62,2015,2.71,1.64,19.3,191,4.66,2.75
"192","Nick Chubb",45783,2020,"CLE",173,5.44128276571373,5.10729731281344,-0.333985452900293,4.52,2018,2.67,1.62,18.8,192,4.66,2.75
"193","Patrick Laird",28219,2019,"MIA",58,5.04398743859653,4.69275914746907,-0.351228291127459,4.6,2019,2.71,1.61,17.1,193,4.66,2.75
"194","Ito Smith",45932,2020,"ATL",65,5.26351502858675,4.91155848636071,-0.351956542226041,4.49,2018,2.66,1.62,17,194,4.67,2.76
"195","Le'Veon Bell",7829,2019,"NYJ",223,4.90677382379369,4.52687837411138,-0.379895449682312,4.6,2013,2.64,1.57,14.2,195,4.67,2.76
"196","David Johnson",9519,2018,"ARI",192,4.95187818259001,4.54803071126135,-0.40384747132866,4.5,2015,2.61,1.57,11.9,196,4.68,2.76
"197","Devin Singletary",40485,2019,"BUF",143,5.23797442529585,4.82708067609009,-0.410893749205762,4.66,2019,2.66,1.60130952380952,11.2,197,4.68,2.76
"198","David Montgomery",45719,2019,"CHI",209,4.94709114708969,4.53345959618213,-0.413631550907562,4.63,2019,2.76,1.68,10.9,198,4.68,2.77
"199","David Montgomery",45719,2020,"CHI",226,5.17461921894445,4.74611817235376,-0.428501046590692,4.63,2019,2.76,1.68,9.4,199,4.7,2.77
"200","Peyton Barber",10927,2019,"TB",139,4.83733116122458,4.33275717061758,-0.504573990607003,4.64,2016,2.7,1.64,1.9,200,4.73,2.77
"201","LeGarrette Blount",5863,2018,"DET",142,4.93398229504975,4.41009945028464,-0.523882844765113,4.7,2010,2.86,1.66,0,201,4.73,2.86
