"","player","player_id","season","offense","rushes","exp_speed","avg_speed","avg_speed_oe","forty","combine_season","twenty","ten","speed_perc","speed_rank","adj_forty","adj_twenty"
"35","Corey Clement",12253,2018,"PHI",55,5.03696882074529,5.28456497253758,0.247596151792288,4.68,2017,2.71,1.62,76.2,35,4.46,2.62
"36","Kenyan Drake",10707,2019,"ARI",107,4.88256448674425,5.11955396613918,0.236989479394937,4.45,2016,2.64,1.64,75.2,36,4.46,2.62
"37","Latavius Murray",7962,2019,"NO",143,5.11215787334042,5.34442529087881,0.232267417538392,4.42,2013,2.64,1.55,74.7,37,4.46,2.62
"38","Rex Burkhead",7971,2020,"NE",61,5.1869170861166,5.41693514506865,0.23001805895205,4.73,2013,2.73,1.63,74.5,38,4.46,2.62
"39","Ty Johnson",45769,2019,"DET",62,5.12929294955346,5.35852111328973,0.229228163736276,4.53739583333333,NA,2.66,1.60130952380952,74.4,39,4.46,2.62
"40","Mark Ingram II",6180,2019,"BAL",192,4.98191375657916,5.20451152840756,0.222597771828396,4.57,2011,2.7,1.62,73.7,40,4.47,2.62
"41","D'Andre Swift",57212,2020,"DET",108,4.9600159128507,5.16934086699102,0.209324954140324,4.48,2020,2.66,1.60130952380952,72.4,41,4.47,2.62
"42","Chase Edmonds",45851,2019,"ARI",54,5.0920158624649,5.29663126182486,0.204615399359957,4.55,2018,2.66,1.58,72,42,4.47,2.62
"43","Bo Scarbrough",45731,2019,"DET",80,5.03854444026947,5.23644452999268,0.197900089723211,4.52,2018,2.66,1.60130952380952,71.3,43,4.47,2.62
"44","James Conner",11860,2020,"PIT",158,4.78685401210302,4.98305003263638,0.196196020533357,4.65,2017,2.69,1.63,71.1,44,4.47,2.62
"45","Tevin Coleman",9506,2019,"SF",118,5.18698939630541,5.38231258540386,0.195323189098449,4.44,2015,2.57,1.58,71,45,4.48,2.63
"46","Austin Ekeler",12164,2020,"LAC",110,5.02980590733615,5.21973690937499,0.18993100203884,4.53739583333333,NA,2.66,1.60130952380952,70.5,46,4.48,2.63
"47","Benny Snell Jr.",45954,2020,"PIT",96,4.70046491424243,4.8855875182886,0.18512260404617,4.66,2019,2.66,1.60130952380952,70,47,4.48,2.63
"48","Kenyan Drake",10707,2018,"MIA",90,4.99941830635071,5.18385355483159,0.184435248480886,4.45,2016,2.64,1.64,70,48,4.48,2.63
"49","James Conner",11860,2019,"PIT",114,4.89574160492211,5.07834483866095,0.182603233738842,4.65,2017,2.69,1.63,69.8,49,4.48,2.63
"50","Cam Akers",57206,2020,"LA",135,5.14737860361735,5.32420828864115,0.176829685023797,4.47,2020,2.66,1.60130952380952,69.2,50,4.49,2.63
"51","Jamaal Williams",11889,2020,"GB",116,4.98463756051557,5.16066851346832,0.176030952952754,4.59,2017,2.68,1.6,69.1,51,4.49,2.63
"52","Latavius Murray",7962,2020,"NO",140,4.98498027494975,5.15306660589564,0.168086330945883,4.42,2013,2.64,1.55,68.4,52,4.49,2.64
"53","Jalen Richard",11395,2018,"LV",51,5.1067639986674,5.27107853062459,0.164314531957189,4.64,2016,2.75,1.69,68,53,4.49,2.64
