"","player_name","gameid","playid","avg_speed","max_speed"
"1","Amani Hooker",18568,3553613,3.16843137254902,6.42
"2","Amani Hooker",18568,3554562,2.46448979591837,3.69
"3","Amani Hooker",18568,3554592,2.29520408163265,4.59
"4","Amani Hooker",18568,3554599,3.564375,8.01
"5","Bobby McCain",18564,3541120,3.60716981132075,6.43
"6","Byron Murphy",18575,3556044,1.795625,6.88
"7","Darian Thompson",18577,3556217,3.14558139534884,4.42
"8","Darious Williams",18566,3554003,2.82084745762712,4.94
"9","Darious Williams",18566,3554350,1.87284403669725,4.98
"10","Darryl Roberts",18575,3555800,5.07952127659574,8.74
"11","Daryl Worley",18577,3555839,0.897112831858407,6.35
"12","Daryl Worley",18577,3556198,3.50770833333333,7.12
"13","DeShon Elliott",18579,3557016,2.342,5.8
"14","Dontae Johnson",18570,3553822,3.25708333333333,8.93
"15","Dontae Johnson",18570,3554383,3.34556390977444,6.5
"16","Dontae Johnson",18570,3554404,4.08967032967033,8.13
"17","Dre Kirkpatrick",18575,3554909,2.78351898734177,8.38
"18","Duron Harmon",18575,3556107,1.78322463768116,5.01
"19","Emmanuel Moseley",18570,3552380,3.02214285714286,8.19
"20","Isaac Yiadom",18570,3553057,1.51212435233161,6.43
"21","Isaac Yiadom",18570,3553382,2.5528125,5.31
"22","Isaiah Oliver",18565,3552533,4.53601851851852,8.61
"23","J.C. Jackson",18569,3553239,2.60288888888889,5.47
"24","Jalen Mills",18571,3553599,2.18814159292035,5.34
"25","Jason McCourty",18569,3552240,4.69192,8.19
"26","Jaylon Johnson",18565,3552686,3.02425742574257,7.33
"27","Jaylon Johnson",18565,3553748,3.095125,5.26
"28","Jeffrey Okudah",18575,3555898,1.78467889908257,6.02
"29","Juan Thornhill",18579,3557085,1.17931034482759,2.37
"30","Kareem Jackson",18576,3555111,4.601875,6.73
"31","Kareem Jackson",18576,3556329,3.86253164556962,6.22
"32","Ken Webster",18570,3554412,3.02251207729469,5.37
"33","Landon Collins",18567,3553423,1.25910828025478,5.35
"34","Levi Wallace",18566,3552555,5.00507692307692,8.09
"35","Malcolm Butler",18568,3553613,3.0181045751634,6.62
"36","Malcolm Butler",18568,3554428,2.79587155963303,6.37
"37","Malcolm Butler",18568,3554592,2.09642857142857,4.96
"38","Marshon Lattimore",18578,3556607,3.67063157894737,5.9
"39","Micah Hyde",18566,3553861,3.38616438356164,4.89
"40","Micah Hyde",18566,3554422,3.51834042553191,6.79
"41","Michael Ojemudia",18576,3555854,3.35724358974359,9.16
"42","Michael Ojemudia",18576,3556084,3.31903614457831,4.86
"43","Mike Edwards",18576,3555752,3.55835443037975,5.73
"44","Quandre Diggs",18577,3555322,2.72194805194805,6.64
"45","Rashad Fenton",18579,3557084,1.8230612244898,3.08
"46","Rashad Fenton",18579,3557085,2.33844827586207,3.48
"47","Rashad Fenton",18579,3557195,3.34676923076923,6.38
"48","Rasul Douglas",18574,3555691,3.704140625,8.17
"49","Rasul Douglas",18574,3556103,1.59073643410853,4.33
"50","Rasul Douglas",18574,3556307,3.34852941176471,5.36
"51","Rasul Douglas",18574,3556313,2.35840579710145,4.8
"52","Rasul Douglas",18574,3556320,3.34792792792793,5.5
"53","Rasul Douglas",18574,3556328,2.71227272727273,5.09
"54","Sean Murphy-Bunting",18576,3555045,4.7,7.68
"55","Steven Nelson",18572,3552970,1.61388888888889,4.23
"56","Steven Nelson",18572,3553267,3.20926605504587,6.05
"57","Steven Nelson",18572,3553722,3.75330935251799,6.2
"58","Steven Nelson",18572,3554371,2.9619801980198,5.82
"59","Steven Nelson",18572,3554397,2.33877358490566,5.19
"60","Tashaun Gipson Sr.",18565,3552667,2.79659574468085,5.18
"61","Taylor Rapp",18566,3552950,2.94705128205128,4.99
"62","Tre Flowers",18577,3555810,2.86265734265734,6.53
"63","Tre Flowers",18577,3556014,1.82081632653061,4.51
"64","Tre Flowers",18577,3556247,3.64145454545455,7.49
"65","Tre Flowers",18577,3556257,2.10741379310345,6.29
"66","Tre Herndon",18564,3541175,5.08878048780488,9.18
"67","Troy Hill",18566,3552190,4.06372093023256,6.51
"68","Troy Pride Jr.",18574,3555831,3.91626865671642,6.72
"69","William Jackson III",18571,3552630,3.44210884353741,6.93
"70","William Jackson III",18571,3554478,3.5214953271028,8.01
"71","Xavien Howard",18564,3541071,3.38333333333333,9.23
"72","Xavien Howard",18564,3541120,3.77839622641509,7.96
