"","player_name","gameid","playid","avg_speed","max_speed"
"1","Amani Oruwariye",18682,3713147,2.43606666666667,6.15
"2","Andrew Sendejo",18683,3712650,3.50099236641221,7.67
"3","Antoine Winfield Jr.",18692,3716485,1.94130630630631,5.56
"4","Bobby McCain",18619,3715101,2.98375,5.57
"5","Bradley Roby",18684,3712912,1.59135458167331,6.03
"6","Bradley Roby",18684,3713947,2.02663865546218,4.81
"7","Bradley Roby",18684,3714028,2.73666666666667,7.05
"8","Bradley Roby",18684,3714240,1.8905905511811,6.89
"9","Bradley Roby",18684,3714249,1.54771241830065,5.16
"10","Bryce Callahan",18619,3714782,2.62294964028777,6.71
"11","Chauncey Gardner-Johnson",18687,3713442,4.0739156626506,6.78
"12","Darian Thompson",18690,3715859,3.6947619047619,7.29
"13","Darious Williams",18692,3716432,3.00417112299465,7.73
"14","Darious Williams",18692,3716516,3.09426229508197,9.66
"15","Darqueze Dennard",18687,3712795,4.69776595744681,9.28
"16","Erik Harris",18691,3716082,2.93938271604938,5.97
"17","J.C. Jackson",18684,3712212,2.20894736842105,4.74
"18","J.C. Jackson",18684,3713274,3.39585365853659,6.86
"19","J.C. Jackson",18684,3713726,4.03834951456311,9.98
"20","J.C. Jackson",18684,3713770,2.7892,5.11
"21","Jalen Mills",18683,3713539,3.76494845360825,9.03
"22","Jalen Mills",18683,3713920,3.15099290780142,7.53
"23","Jalen Ramsey",18692,3716382,3.85957746478873,6.79
"24","Jamel Dean",18692,3716485,1.4977027027027,7.58
"25","Jeff Heath",18691,3716026,3.006,5.59
"26","Jeff Heath",18691,3716263,2.81901234567901,4.72
"27","Keanu Neal",18687,3712505,2.77081395348837,5.82
"28","Ken Crawley",18687,3713442,4.91144578313253,7.35
"29","Kendall Fuller",18688,3712943,2.16596026490066,6.23
"30","Kendall Fuller",18688,3712972,3.72053571428571,8.6
"31","Kendall Fuller",18688,3713259,3.57821428571429,7.05
"32","Khari Willis",18685,3715208,1.96394957983193,9.36
"33","Malcolm Butler",18681,3712662,3.11394366197183,6.43
"34","Malcolm Butler",18681,3713460,2.84884892086331,8.32
"35","Marcus Maye",18620,3714868,3.45485148514851,5.94
"36","Marcus Williams",18687,3712704,2.93759036144578,5.22
"37","Marcus Williams",18687,3713442,3.3716265060241,9.34
"38","Marcus Williams",18687,3714314,3.904625,5.54
"39","Marcus Williams",18687,3714528,3.55734375,5.83
"40","Michael Davis",18620,3715645,4.03922077922078,7.68
"41","Patrick Peterson",18680,3698153,3.36421052631579,9.17
"42","Patrick Peterson",18680,3698165,1.69959459459459,9.17
"43","Rasul Douglas",18682,3712706,2.26715909090909,6.2
"44","Rasul Douglas",18682,3713949,2.26972972972973,5.96
"45","Rasul Douglas",18682,3714027,2.14533936651584,7.86
"46","Rodney McLeod",18683,3713162,2.31033707865169,3.75
"47","Rodney McLeod",18683,3713178,2.00615384615385,5.17
"48","Rodney McLeod",18683,3713184,1.94315068493151,3.46
"49","Sheldrick Redwine",18683,3714454,1.61313559322034,6.77
"50","Stephon Gilmore",18684,3712679,1.88656126482213,6.57
"51","Steven Nelson",18686,3714070,2.85027210884354,6
"52","Steven Nelson",18686,3714257,3.91714285714286,6.95
"53","Terrance Mitchell",18683,3712274,2.69482051282051,7.84
"54","Terrance Mitchell",18683,3712650,3.55648854961832,6.82
"55","Terrance Mitchell",18683,3714049,3.34588888888889,6.86
"56","Terrance Mitchell",18683,3714324,2.51767857142857,6.72
"57","Terrance Mitchell",18683,3714350,1.69409523809524,3.22
"58","Terrance Mitchell",18683,3714363,1.53021857923497,6.48
"59","Terrance Mitchell",18683,3714495,2.92598290598291,6.09
"60","Tre Flowers",18680,3698094,3.36375,9.02
"61","Tre Flowers",18680,3698220,2.47630630630631,6.18
"62","Tre Flowers",18680,3698223,2.49316666666667,7.23
"63","Tre Flowers",18680,3698327,0.955733333333333,5.53
"64","Tre Flowers",18680,3698473,3.40892857142857,8.57
"65","Xavier Rhodes",18685,3715208,1.72406162464986,6.56
"66","Xavier Rhodes",18685,3715871,2.5693137254902,5.3
