"","player_name","gameid","playid","avg_speed","max_speed"
"1","Anthony Averett",18709,3758499,3.26664233576642,8.24
"2","Anthony Averett",18709,3758502,3.5863,9.17
"3","Anthony Averett",18709,3758524,3.16506666666667,5.76
"4","Avonte Maddox",18720,3756765,4.79151785714286,9.33
"5","Bashaud Breeland",18722,3757137,3.415,8.82
"6","Chris Board",18709,3758502,3.43355,9.12
"7","Chuck Clark",18709,3758502,2.46425,4.94
"8","Cory Littleton",18715,3755328,5.68373913043478,9.39
"9","Darius Slay",18720,3756061,3.34006666666667,7.6
"10","Darius Slay",18720,3756254,3.51543378995434,7
"11","Darqueze Dennard",18710,3753092,1.79793388429752,5.05
"12","Deon Bush",18711,3753967,1.76872180451128,3.08
"13","DeShon Elliott",18709,3758502,2.65255,5.12
"14","Eddie Jackson",18711,3753967,1.47195488721805,3.67
"15","Erik Harris",18715,3752975,3.97412844036697,7.26
"16","Harrison Smith",18714,3755662,2.95767441860465,6.19
"17","Isaac Yiadom",18719,3755887,3.5484,7.14
"18","Isaac Yiadom",18719,3755906,3.27527559055118,7.17
"19","Jabrill Peppers",18719,3756506,4.150625,6.25
"20","Jabrill Peppers",18719,3756670,2.62737430167598,7.74
"21","James Bradberry",18719,3756067,2.89857843137255,8.21
"22","James Bradberry",18719,3756629,2.42163636363636,4.58
"23","James Bradberry",18719,3756664,1.08123188405797,5.42
"24","James Bradberry",18719,3756824,3.46282828282828,6.71
"25","Jason Verrett",18723,3758003,2.43666666666667,6.97
"26","Jason Verrett",18723,3758081,1.958173374613,6.85
"27","Jason Verrett",18723,3758106,3.14862559241706,9.02
"28","Jason Verrett",18723,3758162,3.33407079646018,6.88
"29","Jason Verrett",18723,3758167,2.63166666666667,8.98
"30","Jason Verrett",18723,3758212,2.24012987012987,8.29
"31","Jaylon Johnson",18711,3753955,3.93715447154472,7.36
"32","Jaylon Johnson",18711,3754975,3.34875,7.16
"33","Julian Blackmon",18712,3753671,2.06704433497537,5.03
"34","Julian Love",18719,3755734,3.04756756756757,6.35
"35","Justin Layne",18716,3757702,3.49692857142857,7.78
"36","K'Von Wallace",18720,3756540,4.43133333333333,7.42
"37","Kamren Curl",18716,3758026,2.79130952380952,5.07
"38","Kamren Curl",18716,3758028,3.5673417721519,7.12
"39","Kendall Fuller",18716,3757885,3.1989247311828,6.79
"40","Kevin Johnson",18717,3754446,4.71404494382022,7.81
"41","Kevin King",18720,3756324,2.90515463917526,5.82
"42","Kevin King",18720,3756888,2.21389473684211,4.39
"43","Kevin King",18720,3756929,4.55842857142857,6.67
"44","Kyle Dugger",18721,3756971,3.99156626506024,7
"45","Kyle Fuller",18711,3753955,5.17845528455285,9.46
"46","Lamarcus Joyner",18715,3755328,5.38052173913043,9.65
"47","LeShaun Sims",18713,3754433,4.50507042253521,8.18
"48","Logan Ryan",18719,3755611,2.95128787878788,6.25
"49","Logan Ryan",18719,3756664,1.73423913043478,5.33
"50","Marcus Williams",18710,3755227,2.61130841121495,4.15
"51","Marcus Williams",18710,3755239,3.51725,5.54
"52","Marlon Humphrey",18709,3758502,3.50675,8.39
"53","Marshon Lattimore",18710,3755239,4.1315,7.16
"54","Michael Jacquet III",18720,3756773,5.90436974789916,9.64
"55","Michael Jacquet III",18720,3756782,4.66056451612903,7.16
"56","Michael Ojemudia",18722,3757429,2.7181308411215,7.16
"57","Michael Ojemudia",18722,3757596,2.99240384615385,7.15
"58","Pernell McPhee",18709,3758502,2.9194,6.76
"59","Rashard Robinson",18709,3758481,3.66006802721088,8.31
"60","Stephon Gilmore",18721,3755885,3.3025,6.74
"61","Stephon Gilmore",18721,3756281,2.84412698412698,5.26
"62","Tarvarius Moore",18723,3758169,3.25560606060606,7.83
"63","Tashaun Gipson Sr.",18711,3753010,2.90243243243243,4.68
"64","Tashaun Gipson Sr.",18711,3753967,2.59872180451128,4.4
"65","Tavon Wilson",18712,3754001,2.72662280701754,7.73
"66","Terrance Mitchell",18717,3754006,3.17887931034483,7.28
"67","Terrance Mitchell",18717,3754014,3.1843,6.53
"68","Terrance Mitchell",18717,3754034,3.31507462686567,6.27
"69","Terrance Mitchell",18717,3754794,3.78654320987654,6.56
"70","Terrance Mitchell",18717,3754813,2.2725,7.62
"71","Tre Herndon",18714,3754246,2.15341085271318,5.17
"72","Tre'Davious White",18723,3758319,3.36825,6.35
"73","Vernon Hargreaves III",18712,3754257,2.9259509202454,5.53
"74","Xavier Rhodes",18712,3753275,1.57106870229008,4.62
"75","Xavier Rhodes",18712,3753307,2.25418367346939,5.18
