"","player_name","gameid","playid","avg_speed","max_speed"
"1","A.J. Bouye",9427,2677400,2.56725,5.53
"2","A.J. Bouye",9427,2677633,4.02544776119403,9
"3","A.J. Bouye",9427,2677846,1.27258064516129,4.97
"4","A.J. Bouye",9427,2677961,2.97307692307692,8.72
"5","Adoree' Jackson",9428,2678066,1.94940789473684,5.92
"6","Artie Burns",9418,2674691,2.06825396825397,6.35
"7","Avonte Maddox",9416,2656585,2.7905,7.03
"8","Bradley McDougald",9424,2675809,2.84781818181818,4.96
"9","Bradley Roby",9426,2677441,4.50269230769231,8.2
"10","Bradley Roby",9426,2678279,6.08101694915254,9.85
"11","Daryl Worley",9424,2676836,1.77587786259542,4.94
"12","Deiondre' Hall",9416,2656251,4.16689189189189,6.73
"13","Derwin James",9419,2675741,3.44196078431373,6.04
"14","Donte Jackson",9425,2676459,1.42399293286219,4.97
"15","E.J. Gaines",9419,2675682,3.38439024390244,6.38
"16","Eric Reid",9425,2675783,3.76231884057971,5.09
"17","Jamal Adams",9423,2676157,1.64602870813397,4.59
"18","Janoris Jenkins",9416,2656113,3.05108108108108,6.13
"19","Janoris Jenkins",9416,2656162,1.5266270783848,9.88
"20","Jeff Heath",9427,2677874,2.05904255319149,4.74
"21","Jimmie Ward",9430,2679800,3.22915789473684,8.81
"22","Jimmie Ward",9430,2679824,1.42009615384615,6.79
"23","Joe Haden",9418,2676795,2.86899371069182,8.37
"24","Joe Haden",9418,2677134,2.81657407407407,5.93
"25","Johnathan Joseph",9420,2677152,2.42986394557823,6.02
"26","Josh Hawkins",9425,2676021,2.0628125,6.48
"27","Kendrick Lewis",9428,2677978,2.36454545454545,5.37
"28","Kevin Toliver II",9421,2677379,4.53060344827586,8.86
"29","Lamarcus Joyner",9426,2677903,2.23844660194175,3.89
"30","Malcolm Butler",9428,2677978,1.55575757575758,3.21
"31","Micah Hyde",9420,2676839,2.47222222222222,6.03
"32","Michael Davis",9419,2677246,2.05976588628763,7.95
"33","Michael Davis",9419,2677254,4.55022727272727,9.26
"34","Mike Hilton",9418,2677134,3.47009259259259,6.85
"35","Mike Mitchell",9423,2675815,3.05794520547945,5.37
"36","Morris Claiborne",9423,2675084,3.14903225806452,6.64
"37","Morris Claiborne",9423,2677064,4.658125,8.82
"38","Neiko Thorpe",9424,2676782,5.34451476793249,9.08
"39","Phillip Gaines",9420,2676858,1.72365280289331,10.19
"40","Pierre Desir",9423,2675676,2.76061538461538,5.54
"41","Quinton Dunbar",9425,2674637,2.52421052631579,6.07
"42","Quinton Dunbar",9425,2675137,3.87091954022989,5.25
"43","Rasul Douglas",9416,2656251,2.8277027027027,5.49
"44","Rasul Douglas",9416,2656679,2.65127906976744,5.03
"45","Robert Alford",9417,2677192,2.78015151515152,5.76
"46","Ronald Darby",9416,2656072,3.09673076923077,8.43
"47","Ryan Smith",9417,2674734,3.56480392156863,7.96
"48","Sam Shields",9426,2677896,2.4903937007874,7.53
"49","Sam Shields",9426,2678572,3.07150943396226,5.87
"50","Sean Davis",9418,2677134,3.51092592592593,7.46
"51","Stephon Gilmore",9429,2678891,2.3816339869281,5.81
"52","Stephon Gilmore",9429,2679001,1.78988593155894,6.91
"53","Stephon Gilmore",9429,2679032,2.34444444444444,4.94
"54","Torry McTyer",9421,2675735,2.44175097276265,7.96
"55","Tre Boston",9422,2675390,4.15131313131313,8.13
"56","Tre Flowers",9424,2675216,2.60513157894737,6.34
"57","Tre Flowers",9424,2675274,2.35671328671329,6.3
"58","Tre Flowers",9424,2675465,2.00203821656051,4.75
"59","Tre Sullivan",9416,2656251,1.90054054054054,3.09
"60","Tre'Davious White",9420,2677023,2.35768041237113,6.33
"61","Troy Hill",9426,2677678,1.41813852813853,7.32
"62","Tyler Patmon",9427,2677965,3.00592105263158,8.74
"63","William Jackson",9418,2675134,3.41209039548023,8.26
"64","William Jackson",9418,2677022,1.39564668769716,7.6
"65","Xavien Howard",9421,2676706,4.14388571428571,8.59
